DLiP-ID,C001MS
DLiP-Mol-ID,32613
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H27FN2O2.ClH/c1-24(2)20-5-3-4-6-21(20)27(23(24)29)16-15-26-13-11-18(12-14-26)22(28)17-7-9-19(25)10-8-17;/h3-10,18H,11-16H2,1-2H3;1H"
Standard Inchi Key(RDKit),BOCLFQZPFYNVFD-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC1(C)C(=O)N(CCN2CCC(C(=O)c3ccc(F)cc3)CC2)c2ccccc21.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),430.951
MW Monoisotopic(RDKit),430.182334036
MolLogP(RDKit),4.4666
XLogP(SDF),
XLogP(CDK),4.27
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),40.62
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.657073897075802
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,4405897.503566628
qed,0.6570738970758015
Chi0,20.5956473593183
Chi1,13.875047228991527
TPSA,40.620000000000005
Chi0n,17.435929645226654
Chi0v,18.25242622615438
Chi1n,10.31324437629387
Chi1v,10.31324437629387
Chi2n,8.585997861174278
Chi2v,8.585997861174278
Chi3n,6.374947991883666
Chi3v,6.374947991883666
Chi4n,4.531555234161476
Chi4v,4.531555234161476
MolMR,118.96350000000002
MolWt,430.9510000000002
fr_SH,0
Kappa1,22.445321279916755
Kappa2,8.86334533658212
Kappa3,4.140307189454751
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,921.0581014820821
MolLogP,4.466600000000005
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.5599959692065068e-06
SMR_VSA1,13.979489415818463
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,5.917906046161393
SMR_VSA5,32.10410811463005
SMR_VSA6,31.078935354500782
SMR_VSA7,65.47506037213277
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,183.01748058723174
NHOHCount,0
PEOE_VSA1,9.799819461700956
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,12.407033161179976
PEOE_VSA6,18.19910120538483
PEOE_VSA7,75.67391729106347
PEOE_VSA8,30.2582566243671
PEOE_VSA9,5.41499046939678
RingCount,4
SMR_VSA10,29.784844111579986
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,430.182334036
NumHDonors,0
PEOE_VSA10,5.817220841045895
PEOE_VSA11,5.783244946364939
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.899909730850478
SlogP_VSA2,42.76936003021722
SlogP_VSA3,10.209527653468601
SlogP_VSA4,11.735126887207288
SlogP_VSA5,42.61055781269908
SlogP_VSA6,48.53093654769288
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.41499046939678
EState_VSA2,35.83258472410371
EState_VSA3,12.10820789760957
EState_VSA4,43.7267502299703
EState_VSA5,12.13273413692322
EState_VSA6,12.13273413692322
EState_VSA7,43.01285240407817
EState_VSA8,4.899909730850478
EState_VSA9,0.0
SlogP_VSA10,10.077801322358383
SlogP_VSA11,0.0
SlogP_VSA12,12.407033161179976
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,13.0787645491278
VSA_EState9,54.504568784205546
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,13.979489415818463
EState_VSA11,0.0
FractionCSP3,0.4166666666666667
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.2399999999999993
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,30
HeavyAtomMolWt,402.7270000000002
MaxEStateIndex,13.0787645491278
MinEStateIndex,-0.48098801738179664
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0333333333333334
FpDensityMorgan2,1.6666666666666667
FpDensityMorgan3,2.3333333333333335
MaxPartialCharge,0.2367033831739711
MinPartialCharge,-0.31007403254664484
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.0787645491278
MinAbsEStateIndex,0.0
NumAliphaticRings,2
NumRotatableBonds,5
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,1
fr_benzodiazepine,0
fr_ketone_Topliss,1
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.31007403254664484
MinAbsPartialCharge,0.2367033831739711
NumRadicalElectrons,0
NumValenceElectrons,160
fr_para_hydroxylation,1
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,2
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,430.1823340360008
MZ,0.6551724137931034
Mi,1.129538004591658
Mm,0.618611679523655
Mp,0.6740780920916787
Mv,0.6253193989205277
SZ,38.0
Si,65.51320426631617
Sm,35.87947741237199
Sp,39.096529341317364
Sv,36.268525137390604
nB,0
nC,24
nF,1
nH,28
nI,0
nN,2
nO,2
nP,0
nS,0
nX,2
ABC,22.948003956152142
AMW,7.416936793724151
IC0,1.5709975841806643
IC1,3.3974530165857084
IC2,4.487122805397797
IC3,5.1078124605702095
IC4,5.1422952191909
IC5,5.1422952191909
Mpe,0.9661933739012848
Mse,1.002404751739207
NdO,2
NdS,0
NsF,1
NsI,0
NtN,0
SMR,118.96350000000002
SdO,25.5576343919857
SdS,0
Spe,56.03921568627452
SsF,13.0787645491278
SsI,0
Sse,58.139475600874
StN,0
fMF,0.41379310344827586
nBr,0
nCl,1
BIC0,0.25807099363878633
BIC1,0.5581065716842858
BIC2,0.7371088616741619
BIC3,0.8390708237195722
BIC4,0.8447353771665396
BIC5,0.8447353771665396
CIC0,4.286983410946908
CIC1,2.4605279785418634
CIC2,1.3708581897297751
CIC3,0.7501685345573623
CIC4,0.7156857759366719
CIC5,0.7156857759366719
GGI1,6.5
GGI2,4.888888888888889
GGI3,3.333333333333333
GGI4,1.4494444444444448
GGI5,0.9933333333333334
GGI6,0.6980498866213152
GGI7,0.4080215419501134
GGI8,0.1803980851599899
GGI9,0.23969135802469133
JGI1,0.203125
JGI2,0.1040189125295509
JGI3,0.06666666666666667
JGI4,0.03623611111111112
JGI5,0.02921568627450981
JGI6,0.02251773827810694
JGI7,0.013600718065003778
JGI8,0.007215923406399595
JGI9,0.01198456790123457
MIC0,17.364281934537676
MIC1,33.69931827747846
MIC2,40.62642956253208
MIC3,41.63149852804932
MIC4,41.66625714873897
MIC5,41.66625714873897
MPC2,47
MPC3,64
MPC4,81
MPC5,101
MPC6,101
MPC7,107
MPC8,113
MPC9,116
Mare,0.9770344827586207
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.15037952804009244
RPCG,0.11479627221554027
SIC0,0.26818072395375736
SIC1,0.5799699622466461
SIC2,0.7659845276264982
SIC3,0.8719407701763933
SIC4,0.877827228095832
SIC5,0.877827228095832
SaaN,0
SaaO,0
SaaS,0
Sare,56.668
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,91.11785988247853
TIC1,197.05227496197108
TIC2,260.25312271307223
TIC3,296.2531227130722
TIC4,298.2531227130722
TIC5,298.2531227130722
Vabc,400.75165797729227
WPol,50
apol,65.29120399999998
bpol,34.868796
nRot,5
ABCGG,17.26359682524892
ATS0Z,1488.0
ATS0d,186.0
ATS0i,9485.854887720874
ATS0m,6012.758620149772
ATS0p,88.151818335772
ATS0v,12635.17535051728
ATS1Z,1409.0
ATS1d,239.0
ATS1i,8711.741124768392
ATS1m,5302.646019835202
ATS1p,110.29487511000002
ATS1v,15769.286609811144
ATS2Z,2140.0
ATS2d,397.0
ATS2i,16585.109709870285
ATS2m,7961.152078670398
ATS2p,171.30064996818805
ATS2v,24104.883015281874
ATS3Z,2505.0
ATS3d,449.0
ATS3i,23719.611603085075
ATS3m,9010.076574521601
ATS3p,209.27985016982896
ATS3v,28564.567737303576
ATS4Z,2254.0
ATS4d,443.0
ATS4i,27979.86201753632
ATS4m,7666.3452366864
ATS4p,206.85782901601704
ATS4v,27040.698252141014
ATS5Z,1944.0
ATS5d,379.0
ATS5i,25683.441459386908
ATS5m,6589.393889835199
ATS5p,185.844863469413
ATS5v,23665.20403971037
ATS6Z,1739.0
ATS6d,357.0
ATS6i,25005.603958919753
ATS6m,5967.935262632001
ATS6p,170.59094686445002
ATS6v,21282.56571888491
ATS7Z,1622.0
ATS7d,341.0
ATS7i,22348.85375718056
ATS7m,5594.086064096
ATS7p,152.22474287065802
ATS7v,19625.296816013266
ATS8Z,1459.0
ATS8d,286.0
ATS8i,17907.97161008089
ATS8m,4906.506934372799
ATS8p,140.67689888788604
ATS8v,18137.76666016495
C1SP1,0
C1SP2,1
C1SP3,6
C2SP1,0
C2SP2,11
C2SP3,2
C3SP2,2
C3SP3,1
C4SP3,1
FCSP3,0.4166666666666667
GGI10,0.21763493521069283
JGI10,0.010363568343366323
JGT10,0.5049448925759497
Kier1,24.638671875
Kier2,10.29244001810774
Kier3,5.16796875
MAXdO,12.914977705072541
MAXsF,13.0787645491278
MINdO,12.64265668691316
MINsF,13.0787645491278
MPC10,131
MWC01,32.0
