DLiP-ID,C003DB
DLiP-Mol-ID,33869
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H19N3O4S.3H2O/c1-16(2)11(15(22)23)19-13(21)10(14(19)24-16)18-12(20)9(17)8-6-4-3-5-7-8;;;/h3-7,9-11,14H,17H2,1-2H3,(H,18,20)(H,22,23);3*1H2/t9-,10-,11+,14-;;;/m1.../s1"
Standard Inchi Key(RDKit),RXDALBZNGVATNY-CWLIKTDRSA-N
Canonical SMILES(RDKit),CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O.O.O.O
SMILES(SDF),
MW(SDF),
MW(RDKit),403.457
MW Monoisotopic(RDKit),403.14132114
MolLogP(RDKit),-2.156
XLogP(SDF),
XLogP(CDK),-3.133
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),10
PSA(SDF),
PSA(RDKit),207.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.476612062832145
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,206112.98596074485
qed,0.47661206283214447
Chi0,17.64589989101247
Chi1,11.2368879901222
TPSA,207.23000000000002
Chi0n,14.80092304475163
Chi0v,15.617419625679355
Chi1n,7.575211293076027
Chi1v,8.454864104330921
Chi2n,6.472759659838315
Chi2v,8.243644799210875
Chi3n,4.413850051011857
Chi3v,5.98538064585934
Chi4n,3.2002018181598064
Chi4v,4.8255984077691325
MolMR,99.87030000000004
MolWt,403.4570000000002
fr_SH,0
Kappa1,24.82
Kappa2,8.672214041798371
Kappa3,4.064942960317173
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,700.5141335072892
MolLogP,-2.1559999999999984
NOCount,10
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.253332570378044e-06
SMR_VSA1,35.918714454700265
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,5.733667477162185
SMR_VSA5,42.09389215301143
SMR_VSA6,0.0
SMR_VSA7,35.89528683400505
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,159.56291887016442
NHOHCount,10
PEOE_VSA1,37.48546871450379
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,11.761884949391115
PEOE_VSA6,30.33183534230805
PEOE_VSA7,19.410925891078243
PEOE_VSA8,4.747022453217559
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,29.545549696045974
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,1
fr_phenol,0
ExactMolWt,403.1413211399999
NumHDonors,3
PEOE_VSA10,23.499395300412623
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,11.050456081168516
SlogP_VSA2,66.42325430447235
SlogP_VSA3,14.383611552215466
SlogP_VSA4,0.0
SlogP_VSA5,25.452766720226204
