DLiP-ID,C000FT
DLiP-Mol-ID,30756
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H21F3N2O2.C4H4O4/c1-21-10-3-2-4-14(20-22-11-9-19)12-5-7-13(8-6-12)15(16,17)18;5-3(6)1-2-4(7)8/h5-8H,2-4,9-11,19H2,1H3;1-2H,(H,5,6)(H,7,8)/b20-14+;2-1-"
Standard Inchi Key(RDKit),LFMYNZPAVPMEGP-PIDGMYBPSA-N
Canonical SMILES(RDKit),COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1.O=C(O)/C=C\C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),434.411
MW Monoisotopic(RDKit),434.16647118
MolLogP(RDKit),2.9133
XLogP(SDF),
XLogP(CDK),2.826
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),131.44
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.211161285947786
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1625280.4676405836
qed,0.21116128594778608
Chi0,22.993353063746344
Chi1,14.111609430770653
TPSA,131.44
Chi0n,16.392619938829675
Chi0v,16.392619938829675
Chi1n,8.808040627342198
Chi1v,8.808040627342198
Chi2n,5.694703863354517
Chi2v,5.694703863354517
Chi3n,3.30986092138912
Chi3v,3.30986092138912
Chi4n,1.9519710667509276
Chi4v,1.9519710667509276
MolMR,103.12600000000006
MolWt,434.4110000000001
fr_SH,0
Kappa1,27.08
Kappa2,14.991036087079213
Kappa3,13.289526135022786
fr_ArN,0
fr_COO,2
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,687.2164486396919
MolLogP,2.9133000000000004
NOCount,8
fr_Ar_N,0
fr_COO2,2
fr_urea,0
BalabanJ,8.897726352115943e-07
SMR_VSA1,42.54782583838619
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,10.889380203912726
SMR_VSA5,25.438763386221503
SMR_VSA6,26.868317876215947
SMR_VSA7,47.544411470908194
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,1
fr_quatN,0
LabuteASA,171.31633878262068
NHOHCount,4
PEOE_VSA1,25.521173804380275
PEOE_VSA2,0.0
PEOE_VSA3,9.589074368143644
PEOE_VSA4,13.171245143024459
PEOE_VSA5,0.0
PEOE_VSA6,17.28844686367376
PEOE_VSA7,36.958650497398246
PEOE_VSA8,32.41347612537079
PEOE_VSA9,11.275136494467699
RingCount,1
SMR_VSA10,17.650295578674402
fr_Al_COO,2
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
