DLiP-ID,C001ST
DLiP-Mol-ID,32862
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H18O6S.Na/c1-9-13-15(20)16(21)14-10-5-4-8-19(2,3)12(10)7-6-11(14)17(13)25-18(9)26(22,23)24;/h6-7H,4-5,8H2,1-3H3,(H,22,23,24);/q;+1/p-1"
Standard Inchi Key(RDKit),AZEZEAABTDXEHR-UHFFFAOYSA-M
Canonical SMILES(RDKit),Cc1c(S(=O)(=O)[O-])oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C.[Na+]
SMILES(SDF),
MW(SDF),
MW(RDKit),396.396
MW Monoisotopic(RDKit),396.064353544
MolLogP(RDKit),0.15602
XLogP(SDF),
XLogP(CDK),3.048
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),104.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.386277893017249
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,632590.1637205156
qed,0.3862778930172491
Chi0,19.016143379015546
Chi1,12.037529253004424
TPSA,104.47999999999999
Chi0n,15.633758915185938
Chi0v,18.450255496113662
Chi1n,8.388411109869164
Chi1v,9.796659400333027
Chi2n,7.582689992301648
Chi2v,8.861729094664108
Chi3n,5.505627486866641
Chi3v,6.349271183279802
Chi4n,4.2531882751198795
Chi4v,4.915645753685142
MolMR,91.46920000000003
MolWt,396.3960000000002
fr_SH,0
Kappa1,20.483382030679326
Kappa2,6.387621893677257
Kappa3,2.8749842191642467
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1107.7050476750298
MolLogP,0.15602000000000005
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1024982464681792e-06
SMR_VSA1,56.53405819582422
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,50.5409463399419
SMR_VSA6,0.0
SMR_VSA7,39.9499915954082
SMR_VSA8,0.0
SMR_VSA9,11.323698910571437
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,178.92072314498898
NHOHCount,0
PEOE_VSA1,8.969900810743711
PEOE_VSA2,9.589074368143644
PEOE_VSA3,8.417796984328938
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,25.98020853630447
PEOE_VSA7,42.72809552125942
PEOE_VSA8,16.690354475090988
PEOE_VSA9,5.563451491696996
RingCount,4
SMR_VSA10,21.684616751763432
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,2
fr_lactam,0
fr_phenol,0
ExactMolWt,396.0643535440001
NumHDonors,0
PEOE_VSA10,5.760247418874442
PEOE_VSA11,10.118126859033554
PEOE_VSA12,16.6587692954251
PEOE_VSA13,0.0
PEOE_VSA14,29.557286032607934
SlogP_VSA1,29.557286032607934
SlogP_VSA2,24.537036750749177
SlogP_VSA3,21.953938951356346
SlogP_VSA4,6.923737199690624
SlogP_VSA5,64.09544947186188
SlogP_VSA6,21.642164476671788
SlogP_VSA7,0.0
SlogP_VSA8,11.323698910571437
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,26.776896154458655
EState_VSA2,57.422878395970145
EState_VSA3,11.984273114623004
EState_VSA4,23.968546229246012
EState_VSA5,6.923737199690624
EState_VSA6,6.06636706846161
EState_VSA7,6.06636706846161
EState_VSA8,13.847474399381248
EState_VSA9,4.417150937053347
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,39.6480245299834
VSA_EState9,37.072426412739354
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,5
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,22.559621226162943
EState_VSA11,0.0
FractionCSP3,0.3684210526315789
VSA_EState10,-4.887117609389435
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.2499999999999996
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,27
HeavyAtomMolWt,379.26000000000016
