DLiP-ID,C005J2
DLiP-Mol-ID,36668
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H15F3N2O3S2/c1-17(24,18(19,20)21)12-4-2-11(3-5-12)14-7-9-16(27-14)28(25,26)13-6-8-15(22)23-10-13/h2-10,24H,1H3,(H2,22,23)"
Standard Inchi Key(RDKit),ZFFCSBWPPVKQSW-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(O)(c1ccc(-c2ccc(S(=O)(=O)c3ccc(N)nc3)s2)cc1)C(F)(F)F
SMILES(SDF),
MW(SDF),
MW(RDKit),428.457
MW Monoisotopic(RDKit),428.047619
MolLogP(RDKit),3.9949
XLogP(SDF),
XLogP(CDK),3.109
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),93.28
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.655374824634837
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Glucokinase/Glucokinase regulatory protein
Common Target Pref Name,Glucokinase/Glucokinase regulatory protein
RDKit Descriptors
Ipc,1465469.0879042572
qed,0.6553748246348367
Chi0,20.74227620818978
Chi1,12.925688491873755
TPSA,93.28
Chi0n,14.43481646377931
