DLiP-ID,C001LR
DLiP-Mol-ID,32558
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C5H14NO.BrH/c1-6(2,3)4-5-7;/h7H,4-5H2,1-3H3;1H/q+1;/p-1"
Standard Inchi Key(RDKit),JJCWKVUUIFLXNZ-UHFFFAOYSA-M
Canonical SMILES(RDKit),C[N+](C)(C)CCO.[Br-]
SMILES(SDF),
MW(SDF),
MW(RDKit),184.077
MW Monoisotopic(RDKit),183.025876168
MolLogP(RDKit),-3.3111
XLogP(SDF),
XLogP(CDK),0.013
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),20.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),8
QED Weighted(RDKit),0.44538130674934
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,18.14170945007629
qed,0.44538130674933984
Chi0,5.914213562373096
Chi1,3.0606601717798214
TPSA,20.23
Chi0n,5.6866052263822375
Chi0v,7.272601765496942
Chi1n,2.4740963185335496
Chi1v,2.4740963185335496
Chi2n,2.737537680050345
Chi2v,2.737537680050345
Chi3n,0.7708203932499367
Chi3v,0.7708203932499367
Chi4n,0.2999999999999999
