DLiP-ID,C001RV
DLiP-Mol-ID,32828
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H27N.C6H8O7/c1-2-21(17-9-15-19-11-5-3-6-12-19)18-10-16-20-13-7-4-8-14-20;7-3(8)1-6(13,5(11)12)2-4(9)10/h3-8,11-14H,2,9-10,15-18H2,1H3;13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"
Standard Inchi Key(RDKit),RYHCACJBKCOBTJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(CCCc1ccccc1)CCCc1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),473.566
MW Monoisotopic(RDKit),473.24135246
MolLogP(RDKit),3.3254
XLogP(SDF),
XLogP(CDK),2.691
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),135.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),14
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.328111467227697
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,16357142.819756893
qed,0.32811146722769685
Chi0,25.399130457682162
Chi1,16.15772150720816
TPSA,135.37
Chi0n,19.598276571466567
Chi0v,19.598276571466567
Chi1n,11.355277254538327
Chi1v,11.355277254538327
Chi2n,8.090333252193817
Chi2v,8.090333252193817
Chi3n,5.297886902863815
Chi3v,5.297886902863815
Chi4n,3.4450387319010067
Chi4v,3.4450387319010067
MolMR,128.73120000000011
MolWt,473.56600000000026
fr_SH,0
Kappa1,28.80249918752031
Kappa2,15.579279773077902
Kappa3,12.128668353967308
fr_ArN,0
fr_COO,3
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,809.7325728708707
MolLogP,3.3254
NOCount,8
fr_Ar_N,0
fr_COO2,3
fr_urea,0
BalabanJ,3.848351409185454e-07
SMR_VSA1,34.809721131578286
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,51.049717748230364
SMR_VSA6,19.634269217737724
SMR_VSA7,71.7905736680101
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,200.02485305976143
NHOHCount,4
PEOE_VSA1,25.326019310213297
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,67.58740788430673
PEOE_VSA7,56.44445869283575
PEOE_VSA8,0.0
PEOE_VSA9,12.841643245852019
RingCount,2
SMR_VSA10,17.90791586385555
fr_Al_COO,3
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,473.24135245999986
NumHDonors,4
PEOE_VSA10,0.0
PEOE_VSA11,5.601050810983688
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,17.90791586385555
SlogP_VSA1,0.0
SlogP_VSA2,68.46925520279025
SlogP_VSA3,27.225254798067482
SlogP_VSA4,0.0
SlogP_VSA5,43.73392667478865
SlogP_VSA6,60.6636706846161
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,36.350609920691255
EState_VSA2,0.0
EState_VSA3,0.0
EState_VSA4,6.544756405912575
EState_VSA5,49.89970228692319
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,72.48731761515721
EState_VSA9,20.426109579362823
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,92.08333333333333
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.383611552215466
EState_VSA11,0.0
FractionCSP3,0.4230769230769231
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.2300000000000004
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,34
HeavyAtomMolWt,438.28600000000023
MaxEStateIndex,10.315555555555555
MinEStateIndex,-2.7384259259259256
NumHeteroatoms,8
fr_aryl_methyl,2
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.7352941176470589
FpDensityMorgan2,1.1176470588235294
FpDensityMorgan3,1.411764705882353
MaxPartialCharge,0.3364194912829884
MinPartialCharge,-0.48113877492695273
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,10.315555555555555
MinAbsEStateIndex,1.1442129629629632
NumAliphaticRings,0
NumRotatableBonds,14
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.48113877492695273
MinAbsPartialCharge,0.3364194912829884
NumRadicalElectrons,0
NumValenceElectrons,186
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,473.2413524600008
MZ,0.6135265700483091
Mi,1.130782747441409
Mm,0.5714158156955158
Mp,0.6376096068732102
Mv,0.5977325197568123
SZ,42.33333333333333
Si,78.02400957345722
Sm,39.427691282990594
Sp,43.9950628742515
Sv,41.24354386322005
nB,0
nC,26
nF,0
nH,35
nI,0
nN,1
nO,7
nP,0
nS,0
nX,0
ABC,24.795278424568934
AMW,6.858570325507259
