DLiP-ID,C001ZF
DLiP-Mol-ID,27227
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H29N3O.2ClH/c27-19-18-25-16-14-24(15-17-25)12-5-13-26-22-8-3-1-6-20(22)10-11-21-7-2-4-9-23(21)26;;/h1-4,6-11,27H,5,12-19H2;2*1H"
Standard Inchi Key(RDKit),DLTOEESOSYKJBK-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cl.Cl.OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),436.427
MW Monoisotopic(RDKit),435.184417972
MolLogP(RDKit),4.1521
XLogP(SDF),
XLogP(CDK),4.276
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),29.95
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.737099309307844
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2556653.03939568
qed,0.7370993093078442
Chi0,18.476480726871788
Chi1,13.347667890550104
TPSA,29.950000000000003
Chi0n,16.742814685502747
Chi0v,18.3758078473582
Chi1n,10.042419864536868
Chi1v,10.042419864536868
Chi2n,7.36304450751922
Chi2v,7.36304450751922
Chi3n,5.634751408515428
Chi3v,5.634751408515428
Chi4n,4.12913882105493
Chi4v,4.12913882105493
MolMR,127.89680000000003
MolWt,436.42700000000013
fr_SH,0
Kappa1,23.716348559209212
Kappa2,11.580542553986323
Kappa3,5.742995657817646
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,741.6973439880414
MolLogP,4.1521000000000035
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.499999015000676e-06
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,57.32008653675142
SMR_VSA7,59.65783953108687
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,1
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,186.18151651258594
NHOHCount,1
PEOE_VSA1,14.906346856541662
PEOE_VSA2,4.899909730850478
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,24.814066322359952
PEOE_VSA6,48.55024262443742
PEOE_VSA7,36.225215149155794
PEOE_VSA8,50.64331098484257
PEOE_VSA9,6.606881964512918
RingCount,4
SMR_VSA10,48.34087908539484
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,435.184417972
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.899909730850478
SlogP_VSA2,67.3265236624426
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,17.54772460632
SlogP_VSA6,48.53093654769288
SlogP_VSA7,0.0
SlogP_VSA8,12.152040213667762
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,31.42094828687287
EState_VSA3,0.0
EState_VSA4,52.23411646431403
EState_VSA5,22.501675532761116
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,75.38270595391208
EState_VSA9,5.106527394840706
SlogP_VSA10,11.374772549367124
SlogP_VSA11,0.0
SlogP_VSA12,24.814066322359952
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,52.166666666666686
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,0.391304347826087
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,1
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.5599999999999996
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,29
