DLiP-ID,C004U2
DLiP-Mol-ID,31376
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H18N3S.ClH/c1-18(2)11-5-7-13-15(9-11)20-16-10-12(19(3)4)6-8-14(16)17-13;/h5-10H,1-4H3;1H/q+1;/p-1"
Standard Inchi Key(RDKit),CXKWCBBOMKCUKX-UHFFFAOYSA-M
Canonical SMILES(RDKit),CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-]
SMILES(SDF),
MW(SDF),
MW(RDKit),319.861
MW Monoisotopic(RDKit),319.090996256
MolLogP(RDKit),-0.497099999999997
XLogP(SDF),
XLogP(CDK),4.173
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),19.14
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.444985459041416
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 2
Common Target Pref Name,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 2
RDKit Descriptors
Ipc,40669.16285131989
qed,0.444985459041416
Chi0,14.27565640300939
Chi1,9.541713895658194
TPSA,19.14
Chi0n,12.59195516511072
Chi0v,14.164380692056902
Chi1n,6.567597606888783
Chi1v,7.384094187816509
Chi2n,5.306775129894138
Chi2v,6.390552086380964
Chi3n,3.380396569305066
Chi3v,4.474201681558599
Chi4n,2.1584281465804027
Chi4v,3.1912029233755463
MolMR,87.68600000000004
MolWt,319.861
fr_SH,0
Kappa1,15.733461415402449
Kappa2,5.996773366191794
Kappa3,3.0128985226848717
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,819.2799029657862
MolLogP,-0.497099999999999
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.6133324612782668e-06
SMR_VSA1,12.407033161179976
SMR_VSA2,0.0
SMR_VSA3,9.559504380427024
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,33.09059766155924
SMR_VSA7,41.75543285907597
SMR_VSA8,0.0
SMR_VSA9,10.571075188549761
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,134.49767490151666
NHOHCount,0
PEOE_VSA1,17.306942892030456
PEOE_VSA2,0.0
PEOE_VSA3,9.559504380427024
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,0.0
PEOE_VSA7,24.26546827384644
PEOE_VSA8,31.91546437696116
PEOE_VSA9,20.787695822635122
RingCount,3
SMR_VSA10,27.240792786703665
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
