DLiP-ID,C001MN
DLiP-Mol-ID,32606
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H24ClN2O5P/c1-5-28-30(25,29-6-2)21-19(22)20(23-14-7-9-15(26-3)10-8-14)17-13-16(27-4)11-12-18(17)24-21/h7-13H,5-6H2,1-4H3,(H,23,24)"
Standard Inchi Key(RDKit),DPSHILIRGGPLQK-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOP(=O)(OCC)c1nc2ccc(OC)cc2c(Nc2ccc(OC)cc2)c1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),450.859
MW Monoisotopic(RDKit),450.111136178
MolLogP(RDKit),5.5404
XLogP(SDF),
XLogP(CDK),3.941
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),78.91
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.428543300935805
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,5032605.415130242
qed,0.42854330093580545
Chi0,21.72540387131522
Chi1,14.450368709544597
TPSA,78.91000000000001
Chi0n,17.269298563028936
Chi0v,18.919654700047307
Chi1n,9.433234966972533
Chi1v,11.35385815049205
Chi2n,6.193990727356837
Chi2v,8.50689593061549
Chi3n,4.332099664504412
Chi3v,6.870506370876436
Chi4n,2.9548950147754396
Chi4v,5.038122215302427
MolMR,120.07420000000003
MolWt,450.85900000000015
fr_SH,0
Kappa1,22.376889028777327
Kappa2,9.66550328376397
Kappa3,4.546509104428341
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1065.174938787554
MolLogP,5.540400000000004
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.2205341828635854
SMR_VSA1,23.086268515955062
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,32.75014761558723
SMR_VSA7,47.487202792972596
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,180.34971226948747
NHOHCount,1
PEOE_VSA1,23.838008835030063
PEOE_VSA2,4.565048284931329
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,56.31204387861251
PEOE_VSA8,11.073610489148358
PEOE_VSA9,43.66007931762205
RingCount,3
SMR_VSA10,46.90941609785896
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,450.111136178
NumHDonors,1
PEOE_VSA10,11.49902366656781
