DLiP-ID,C004VE
DLiP-Mol-ID,31472
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H23N3O5.ClH/c1-4-23(30)16-8-18-20-12(9-26(18)21(28)15(16)11-31-22(23)29)7-13-14(10-25(2)3)19(27)6-5-17(13)24-20;/h5-8,27,30H,4,9-11H2,1-3H3;1H/t23-;/m0./s1"
Standard Inchi Key(RDKit),DGHHQBMTXTWTJV-BQAIUKQQSA-N
Canonical SMILES(RDKit),CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),457.914
MW Monoisotopic(RDKit),457.140448548
MolLogP(RDKit),2.2686
XLogP(SDF),
XLogP(CDK),2.765
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),104.89
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.454506870923247
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,12269942.157708623
qed,0.4545068709232466
Chi0,22.076621311330612
Chi1,14.740237853411664
TPSA,104.89
Chi0n,18.006889340859935
Chi0v,18.82338592178766
Chi1n,10.206275564285928
Chi1v,10.206275564285928
Chi2n,8.466876053848996
Chi2v,8.466876053848996
Chi3n,6.25254668624455
Chi3v,6.25254668624455
Chi4n,4.582035556834457
Chi4v,4.582035556834457
MolMR,120.82860000000001
MolWt,457.91400000000016
fr_SH,0
Kappa1,22.260960924405232
Kappa2,7.581147102791794
Kappa3,3.0159179432522296
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1333.6820076314489
MolLogP,2.2686000000000006
NOCount,8
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.449997033753739e-06
SMR_VSA1,19.744454927553285
SMR_VSA2,0.0
SMR_VSA3,14.450987899589041
SMR_VSA4,0.0
SMR_VSA5,38.64200440993839
SMR_VSA6,14.09534396535438
SMR_VSA7,56.87307831975825
SMR_VSA8,0.0
SMR_VSA9,17.137367822980828
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,190.03022988503474
NHOHCount,2
PEOE_VSA1,24.41692712212329
PEOE_VSA2,4.794537184071822
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,12.407033161179976
PEOE_VSA6,6.923737199690624
PEOE_VSA7,44.781633862126824
PEOE_VSA8,28.621335095468357
PEOE_VSA9,29.012764604922754
RingCount,5
SMR_VSA10,29.27926338121288
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,457.140448548
NumHDonors,2
PEOE_VSA10,12.356393797796823
PEOE_VSA11,5.601050810983688
PEOE_VSA12,0.0
PEOE_VSA13,5.559266895052008
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.559266895052008
SlogP_VSA2,44.72869194257668
SlogP_VSA3,34.82884572519363
SlogP_VSA4,0.0
SlogP_VSA5,35.59836478940461
SlogP_VSA6,29.060005457918262
SlogP_VSA7,0.0
SlogP_VSA8,22.29078092177798
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
