DLiP-ID,C00060
DLiP-Mol-ID,30338
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H11Cl2NO2.Na/c1-8-6-7-10(15)13(12(8)16)17-11-5-3-2-4-9(11)14(18)19;/h2-7,17H,1H3,(H,18,19);/q;+1/p-1"
Standard Inchi Key(RDKit),OGPIIGMUPMPMNT-UHFFFAOYSA-M
Canonical SMILES(RDKit),Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.[Na+]
SMILES(SDF),
MW(SDF),
MW(RDKit),318.135
MW Monoisotopic(RDKit),316.9986282
MolLogP(RDKit),0.412920000000001
XLogP(SDF),
XLogP(CDK),3.838
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),52.16
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.83445081391117
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,18508.060248751837
qed,0.8344508139111697
Chi0,13.991199352633217
Chi1,9.002907755397974
TPSA,52.16
Chi0n,11.036527142083937
Chi0v,14.548385034120846
Chi1n,5.524246635185675
Chi1v,6.280175581204131
Chi2n,4.011307162945851
Chi2v,4.796471762695685
Chi3n,2.6908423450310535
Chi3v,3.4928861573326335
Chi4n,1.676038434954635
Chi4v,2.141174885418978
MolMR,75.25420000000003
MolWt,318.135
fr_SH,0
Kappa1,17.341840331778126
Kappa2,7.341699771773954
Kappa3,3.684120657233378
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,647.0661844366887
MolLogP,0.4129200000000009
NOCount,3
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.9999988982506213e-06
SMR_VSA1,39.45835061152046
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,5.316788604006331
SMR_VSA7,57.5703720216463
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,148.74393166667735
NHOHCount,1
PEOE_VSA1,15.217853182918859
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,47.46734805431147
PEOE_VSA7,24.619922828310838
PEOE_VSA8,11.250837766380558
