DLiP-ID,C003CQ
DLiP-Mol-ID,33848
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H16OS2.K/c13-11(14)12-10-5-6-4-9(10)8-3-1-2-7(6)8;/h6-10H,1-5H2,(H,13,14);/q;+1/p-1"
Standard Inchi Key(RDKit),IGULCCCBGBDZKQ-UHFFFAOYSA-M
Canonical SMILES(RDKit),S=C([S-])OC1CC2CC1C1CCCC21.[K+]
SMILES(SDF),
MW(SDF),
MW(RDKit),266.472
MW Monoisotopic(RDKit),266.02013878
MolLogP(RDKit),-0.3365
XLogP(SDF),
XLogP(CDK),3.046
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),1
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),9.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.365197920836058
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,3271.8779730322967
qed,0.36519792083605784
Chi0,9.706742302257043
Chi1,6.754020195423489
TPSA,9.23
Chi0n,9.147030123272458
Chi0v,13.903128910745572
Chi1n,5.630897772207821
Chi1v,6.4473943531355475
Chi2n,5.060254488270392
Chi2v,6.060254488270392
Chi3n,4.615414277678833
Chi3v,4.807864367408708
Chi4n,4.264245753112288
Chi4v,4.511439627711355
MolMR,61.881000000000036
MolWt,266.472
fr_SH,0
Kappa1,13.184459117234276
Kappa2,5.165571260316498
Kappa3,2.328585533415006
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,1
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,271.3135362459449
MolLogP,-0.3364999999999996
NOCount,1
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,8.533330096001266e-07
SMR_VSA1,56.12139786008668
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,23.671624184645573
SMR_VSA5,38.20807450237835
SMR_VSA6,0.0
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,144.92113554668398
NHOHCount,0
PEOE_VSA1,29.583525544859736
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.4208216229260096
PEOE_VSA7,49.354910676349604
PEOE_VSA8,4.382659644159314
PEOE_VSA9,6.103966387748303
RingCount,3
