DLiP-ID,C001BF
DLiP-Mol-ID,32122
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H25N3O4S.ClH/c1-2-29-22(27)23-16-7-8-20-18(15-16)25(17-5-3-4-6-19(17)30-20)21(26)9-10-24-11-13-28-14-12-24;/h3-8,15H,2,9-14H2,1H3,(H,23,27);1H"
Standard Inchi Key(RDKit),GAQAKFHSULJNAK-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),463.987
MW Monoisotopic(RDKit),463.133254992
MolLogP(RDKit),4.5284
XLogP(SDF),
XLogP(CDK),2.8
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),71.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.702085015331343
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,8417707.394514672
qed,0.7020850153313432
Chi0,20.924074484064487
Chi1,14.652198343190413
TPSA,71.11
Chi0n,17.335116286416312
Chi0v,18.968109448271765
Chi1n,10.13219413392658
Chi1v,10.948690714854306
Chi2n,7.03092279211696
Chi2v,8.114699748603785
Chi3n,5.042749143875099
Chi3v,6.173017522709024
Chi4n,3.5766661780727635
Chi4v,4.614960647479445
MolMR,123.92170000000002
MolWt,463.98700000000025
fr_SH,0
Kappa1,23.404100316250346
Kappa2,10.85825975870468
Kappa3,5.512771386945458
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,936.7220743448909
MolLogP,4.528400000000005
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.722496074380999e-06
SMR_VSA1,19.06280027574374
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,23.135525773652184
SMR_VSA6,49.671613446133286
SMR_VSA7,42.46456947923127
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,192.02212362349937
NHOHCount,1
PEOE_VSA1,9.473725907600098
PEOE_VSA2,19.911145249779107
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,12.407033161179976
PEOE_VSA6,23.894619086314336
PEOE_VSA7,37.255572541998674
PEOE_VSA8,41.53344406638284
PEOE_VSA9,31.19541844290588
RingCount,4
SMR_VSA10,53.231496734911694
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,463.13325499199993
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,6.093240070938415
SlogP_VSA1,10.216698334856808
SlogP_VSA2,56.35524464241687
SlogP_VSA3,14.268263091671919
SlogP_VSA4,0.0
SlogP_VSA5,13.344558822616634
SlogP_VSA6,52.255536430266815
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,6.093240070938415
EState_VSA2,18.314212890531483
EState_VSA3,38.4736101970609
EState_VSA4,34.255252312227825
EState_VSA5,0.0
EState_VSA6,23.58553187993222
EState_VSA7,42.46456947923127
EState_VSA8,10.216698334856808
EState_VSA9,9.473725907600098
SlogP_VSA10,21.85669600812251
SlogP_VSA11,0.0
SlogP_VSA12,24.16891811057109
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,65.87712712181599
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.36363636363636365
VSA_EState10,1.6228728781840251
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.2599999999999993
NumHAcceptors,6
fr_morpholine,1
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,31
HeavyAtomMolWt,437.7790000000002
MaxEStateIndex,13.34893340941366
MinEStateIndex,-0.5078642646057527
NumHeteroatoms,9
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.096774193548387
FpDensityMorgan2,1.8387096774193548
FpDensityMorgan3,2.6129032258064515
MaxPartialCharge,0.4111030158423175
MinPartialCharge,-0.4496076252924879
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.34893340941366
MinAbsEStateIndex,0.0
NumAliphaticRings,2
NumRotatableBonds,5
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4496076252924879
MinAbsPartialCharge,0.4111030158423175
NumRadicalElectrons,0
NumValenceElectrons,166
fr_para_hydroxylation,1
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,2
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,463.1332549920007
MZ,0.7134502923976608
Mi,1.1259683461738188
Mm,0.6777077152960662
Mp,0.6898268515600379
Mv,0.6395571791273422
SZ,40.666666666666664
Si,64.18019573190767
Sm,38.62933977187578
Sp,39.32013053892216
Sv,36.45475921025851
nB,0
nC,22
nF,0
nH,26
nI,0
nN,3
nO,4
nP,0
nS,1
nX,1
ABC,23.351102806039016
AMW,8.125144824421064
IC0,1.7438757021673312
IC1,3.603863703348028
IC2,4.579803663897714
IC3,5.1529797071092425
IC4,5.293330584302224
IC5,5.293330584302224
Mpe,0.9764017887856897
Mse,1.0122155351963302
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,123.92170000000002
SdO,25.186008857351542
SdS,0
Spe,55.654901960784315
SsF,0
SsI,0
Sse,57.69628550619082
StN,0
fMF,0.40350877192982454
nBr,0
nCl,1
BIC0,0.28747940351924356
BIC1,0.59410001900682
BIC2,0.7549845576128271
BIC3,0.8494731193888657
BIC4,0.8726100817358353
BIC5,0.8726100817358353
CIC0,4.08901431199741
CIC1,2.2290263108167134
CIC2,1.2530863502670275
CIC3,0.6799103070554988
CIC4,0.5395594298625177
CIC5,0.5395594298625177
GGI1,5.0
GGI2,2.666666666666668
GGI3,1.9375
GGI4,1.9422222222222225
GGI5,0.9027777777777778
GGI6,0.786938775510204
GGI7,0.5208333333333333
GGI8,0.3371126228269085
GGI9,0.18375000000000002
JGI1,0.1515151515151515
JGI2,0.05925925925925929
JGI3,0.04036458333333333
JGI4,0.041323877068557925
JGI5,0.019208037825059105
JGI6,0.018300901756051258
JGI7,0.013020833333333334
JGI8,0.008427815570672712
JGI9,0.00525
MIC0,21.232160979902694
MIC1,37.77450593468873
MIC2,43.51483876598796
MIC3,45.636880919299564
MIC4,46.16442477894869
MIC5,46.16442477894869
MPC2,45
MPC3,60
MPC4,82
MPC5,110
MPC6,121
MPC7,148
MPC8,177
MPC9,199
Mare,0.9872280701754386
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
