DLiP-ID,C001ZW
DLiP-Mol-ID,27366
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H29NO3.ClH/c1-22(2,3)23-15-18(24)16-26-21-12-8-7-11-19(21)20(25)14-13-17-9-5-4-6-10-17;/h4-12,18,23-24H,13-16H2,1-3H3;1H"
Standard Inchi Key(RDKit),PXBGAENZBXUROI-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)(C)NCC(O)COc1ccccc1C(=O)CCc1ccccc1.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),391.939
MW Monoisotopic(RDKit),391.1914215
MolLogP(RDKit),4.0517
XLogP(SDF),
XLogP(CDK),4.266
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),58.56
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.632880176369421
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,517936.4847066628
qed,0.6328801763694212
Chi0,18.99335306374634
Chi1,12.34915520981396
TPSA,58.559999999999995
Chi0n,16.273888283534
Chi0v,17.090384864461726
Chi1n,9.070312939225971
Chi1v,9.070312939225971
Chi2n,7.50066289312009
Chi2v,7.50066289312009
Chi3n,3.970269190417207
Chi3v,3.970269190417207
Chi4n,2.5289774637611977
Chi4v,2.5289774637611977
