DLiP-ID,C001J5
DLiP-Mol-ID,32457
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H19NO3/c1-15-6-9-17(10-7-15)24-13-12-21-14-16(8-11-20(22)23)18-4-2-3-5-19(18)21/h2-11,14H,12-13H2,1H3,(H,22,23)/b11-8+"
Standard Inchi Key(RDKit),HNRQHXNEKIVLTR-DHZHZOJOSA-N
Canonical SMILES(RDKit),Cc1ccc(OCCn2cc(/C=C/C(=O)O)c3ccccc32)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),321.376
MW Monoisotopic(RDKit),321.136493468
MolLogP(RDKit),4.12652
XLogP(SDF),
XLogP(CDK),4.448
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),51.46
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.694656828779192
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,385144.36144791485
qed,0.6946568287791923
Chi0,16.94094682093905
Chi1,11.631030293135236
TPSA,51.46
Chi0n,13.475990295386625
Chi0v,13.475990295386625
Chi1n,7.816639887675949
Chi1v,7.816639887675949
Chi2n,5.628069859472648
Chi2v,5.628069859472648
Chi3n,3.846776377483007
Chi3v,3.846776377483007
Chi4n,2.6503963553635645
Chi4v,2.6503963553635645
MolMR,95.28180000000003
MolWt,321.3760000000001
fr_SH,0
Kappa1,15.86938455379261
Kappa2,7.044241610553315
Kappa3,3.6578968522481614
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,875.5402820853739
MolLogP,4.126520000000003
NOCount,4
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.7625741405434714
SMR_VSA1,14.637927532712576
SMR_VSA2,0.0
SMR_VSA3,4.567099647791355
SMR_VSA4,0.0
SMR_VSA5,13.4684936056032
SMR_VSA6,6.606881964512918
SMR_VSA7,71.93070320953383
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,140.15864450084788
NHOHCount,1
PEOE_VSA1,14.41048999643211
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,35.89528683400505
PEOE_VSA7,31.198858511909332
PEOE_VSA8,28.73924010222501
PEOE_VSA9,6.544756405912575
RingCount,3
SMR_VSA10,22.94825032686679
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,321.136493468
NumHDonors,1
PEOE_VSA10,12.356393797796823
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,4.736862953800049
SlogP_VSA2,22.249814295096826
SlogP_VSA3,11.339293589984397
SlogP_VSA4,6.923737199690624
SlogP_VSA5,11.126902983393991
SlogP_VSA6,60.803800226139835
SlogP_VSA7,0.0
SlogP_VSA8,16.978945038914937
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,0.0
EState_VSA3,13.151638370425493
EState_VSA4,28.291908363895843
EState_VSA5,5.563451491696996
EState_VSA6,6.076020106833881
EState_VSA7,61.651517318996575
EState_VSA8,4.567099647791355
EState_VSA9,9.843390348640755
SlogP_VSA10,0.0
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
