DLiP-ID,C001GY
DLiP-Mol-ID,27925
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H14N4OS.BrH/c17-16(18)22-10-14-19-13-9-5-4-8-12(13)15(21)20(14)11-6-2-1-3-7-11;/h1-9H,10H2,(H3,17,18);1H"
Standard Inchi Key(RDKit),KUMOMJZUDAOEJK-UHFFFAOYSA-N
Canonical SMILES(RDKit),Br.N=C(N)SCc1nc2ccccc2c(=O)n1-c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),391.294
MW Monoisotopic(RDKit),390.0149942
MolLogP(RDKit),3.09027
XLogP(SDF),
XLogP(CDK),3.956
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),84.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.530918799455001
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,129263.30526293993
qed,0.5309187994550013
Chi0,15.526733258565956
Chi1,10.66470379794645
TPSA,84.76000000000002
Chi0n,12.099781535474314
Chi0v,14.62935016949782
Chi1n,6.695219810709243
Chi1v,7.680818370362731
Chi2n,4.674218048001883
Chi2v,5.691394722818956
Chi3n,3.2163339358413197
Chi3v,3.9298746268499603
Chi4n,2.261156592246839
