DLiP-ID,C003DV
DLiP-Mol-ID,31713
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H16N2O4S3.C6H15N/c1-17-15(19)14(24-16(17)23)13-8-7-11-5-2-3-6-12(11)18(13)9-4-10-25(20,21)22;1-4-7(5-2)6-3/h2-3,5-8H,4,9-10H2,1H3,(H,20,21,22);4-6H2,1-3H3/b14-13+;"
Standard Inchi Key(RDKit),LJIWTQZYGOAIKX-IERUDJENSA-N
Canonical SMILES(RDKit),CCN(CC)CC.CN1C(=O)/C(=C2/C=Cc3ccccc3N2CCCS(=O)(=O)O)SC1=S
SMILES(SDF),
MW(SDF),
MW(RDKit),497.708
MW Monoisotopic(RDKit),497.147669472
MolLogP(RDKit),3.8475
XLogP(SDF),
XLogP(CDK),2.912
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),81.16
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.345690295865632
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,8457891.788331123
qed,0.3456902958656325
Chi0,23.88854057813175
Chi1,15.122740779693759
TPSA,81.16
Chi0n,18.945086427040053
Chi0v,21.39457616982323
Chi1n,10.586985300530378
Chi1v,13.420895479448372
Chi2n,7.2493862405600895
Chi2v,10.46565057608264
Chi3n,5.25951081970718
Chi3v,7.624319251824484
Chi4n,3.3742846360888388
Chi4v,5.102604158725083
MolMR,137.30159999999995
MolWt,497.70800000000025
fr_SH,0
Kappa1,26.531666328713182
Kappa2,11.94303371254128
Kappa3,6.88703148397528
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,1
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,995.9185685139736
MolLogP,3.847500000000003
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,4.506856566544027e-07
SMR_VSA1,17.76508404209112
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,27.19203322199788
SMR_VSA6,43.879460943924755
SMR_VSA7,46.507115699323194
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,200.43698912520964
NHOHCount,1
PEOE_VSA1,9.799819461700956
PEOE_VSA2,14.247196788612662
PEOE_VSA3,0.0
PEOE_VSA4,8.417796984328938
PEOE_VSA5,0.0
PEOE_VSA6,69.02609130372839
PEOE_VSA7,43.760929507656215
PEOE_VSA8,19.279814663273328
PEOE_VSA9,11.449892919802622
RingCount,3
SMR_VSA10,56.08900544789928
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,497.1476694719999
NumHDonors,1
PEOE_VSA10,9.225670599449018
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,16.02530658838506
PEOE_VSA14,0.0
SlogP_VSA1,4.899909730850478
SlogP_VSA2,71.97763134770501
SlogP_VSA3,14.912664043105377
SlogP_VSA4,0.0
SlogP_VSA5,32.75548471369488
SlogP_VSA6,40.9436642076262
SlogP_VSA7,0.0
SlogP_VSA8,6.076020106833881
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,10.118126859033554
EState_VSA2,18.080854959024304
EState_VSA3,21.467466318417426
EState_VSA4,11.250837766380558
EState_VSA5,36.296063897979316
EState_VSA6,7.04767198267719
EState_VSA7,41.31741821836468
EState_VSA8,25.67112132992235
EState_VSA9,16.77062331673706
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,23.97975839243781
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,31.5075848754587
VSA_EState9,44.50864241757055
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,13.212334168400758
EState_VSA11,0.0
FractionCSP3,0.45454545454545453
VSA_EState10,2.400439373637426
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.7199999999999995
NumHAcceptors,7
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,32
HeavyAtomMolWt,466.46000000000015
MaxEStateIndex,12.468860990383808
MinEStateIndex,-4.029037107898715
NumHeteroatoms,10
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,1
fr_prisulfonamd,0
FpDensityMorgan1,1.09375
FpDensityMorgan2,1.71875
FpDensityMorgan3,2.21875
MaxPartialCharge,0.2675386231201364
MinPartialCharge,-0.3398750726941633
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.468860990383808
MinAbsEStateIndex,0.17239736866969024
NumAliphaticRings,2
NumRotatableBonds,7
NumSaturatedRings,1
fr_Ndealkylation1,1
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.3398750726941633
MinAbsPartialCharge,0.2675386231201364
NumRadicalElectrons,0
NumValenceElectrons,176
fr_para_hydroxylation,1
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,2
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,497.14766947200076
MZ,0.6984126984126983
Mi,1.1255062039143284
Mm,0.6577132337685166
Mp,0.6902251021765993
Mv,0.6205171798823339
SZ,43.99999999999999
Si,70.90689084660269
Sm,41.43593372741655
Sp,43.484181437125756
Sv,39.092582332587035
nB,0
nC,22
nF,0
nH,31
nI,0
nN,3
nO,4
nP,0
nS,3
nX,0
ABC,23.85636824453411
AMW,7.891232848761917
IC0,1.7043060149865739
IC1,3.4405571055931676
IC2,4.543886867566612
IC3,4.893093216772963
IC4,4.9248392485189925
IC5,4.9248392485189925
Mpe,0.9643323996265172
Mse,1.0048266453947448
NdO,3
NdS,1
NsF,0
NsI,0
NtN,0
SMR,137.30159999999995
SdO,34.51549470539415
SdS,5.196862669807746
Spe,60.752941176470586
SsF,0
SsI,0
Sse,63.304078659868914
StN,0
fMF,0.23809523809523808
nBr,0
nCl,0
BIC0,0.2753399549170663
BIC1,0.5558408114584268
BIC2,0.7340897668978165
BIC3,0.7905059618779107
BIC4,0.7956347068761007
BIC5,0.7956347068761007
CIC0,4.272973908513343
CIC1,2.536722817906749
CIC2,1.4333930559333048
CIC3,1.0841867067269542
CIC4,1.0524406749809243
CIC5,1.0524406749809243
GGI1,7.5
GGI2,4.222222222222223
GGI3,2.7638888888888893
GGI4,1.396666666666667
GGI5,1.0455555555555556
GGI6,0.8686167800453516
GGI7,0.7561295351473923
GGI8,0.4278155706727134
GGI9,0.27219907407407407
JGI1,0.2272727272727273
JGI2,0.09178743961352662
JGI3,0.060084541062801936
JGI4,0.035811965811965815
JGI5,0.02904320987654321
JGI6,0.024128243890148646
JGI7,0.021603701004211204
JGI8,0.015279127524025481
JGI9,0.01701244212962963
MIC0,20.550690370026842
MIC1,38.48993505996877
MIC2,43.29031411378887
MIC3,43.99161570109046
MIC4,44.02361570109045
MIC5,44.02361570109045
MPC2,46
MPC3,57
MPC4,70
MPC5,84
MPC6,94
MPC7,112
MPC8,127
MPC9,133
Mare,0.9760634920634924
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,1
NtCH,0
NtsC,0
RNCG,0.13659180327805648
RPCG,0.10752063306328882
SIC0,0.2851307010545091
SIC1,0.5756058189723521
