DLiP-ID,C001SI
DLiP-Mol-ID,32851
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H22N2O2.HI/c1-20(2)12-7-8-13(20)10-14(9-12)22-18(21)16-11-19-17-6-4-3-5-15(16)17;/h3-6,11-14H,7-10H2,1-2H3;1H"
Standard Inchi Key(RDKit),FAVUCMGCKDICCE-UHFFFAOYSA-N
Canonical SMILES(RDKit),C[N+]1(C)C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2.[I-]
SMILES(SDF),
MW(SDF),
MW(RDKit),426.298
MW Monoisotopic(RDKit),426.080425976
MolLogP(RDKit),0.0985000000000023
XLogP(SDF),
XLogP(CDK),4.293
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),42.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.420779200335554
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,168352.972881396
qed,0.4207792003355541
Chi0,15.319626477379408
Chi1,10.553680023945608
TPSA,42.09
Chi0n,13.58890392770011
Chi0v,15.746402218876433
Chi1n,8.158965802516047
Chi1v,8.158965802516047
Chi2n,7.2607332833626
Chi2v,7.2607332833626
Chi3n,5.86814238236403
Chi3v,5.86814238236403
Chi4n,4.382071903239303
Chi4v,4.382071903239303
MolMR,85.65460000000006
MolWt,426.29800000000006
fr_SH,0
Kappa1,16.76646704175569
Kappa2,6.089995386939523
Kappa3,2.7780149382361397
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,708.6348142792668
MolLogP,0.09850000000000136
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
