DLiP-ID,C001NO
DLiP-Mol-ID,32648
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H20NO.HI/c1-17(2,3)12-11-16(18)15-10-6-8-13-7-4-5-9-14(13)15;/h4-10H,11-12H2,1-3H3;1H/q+1;/p-1"
Standard Inchi Key(RDKit),QZXMJYVXMZJOAO-UHFFFAOYSA-M
Canonical SMILES(RDKit),C[N+](C)(C)CCC(=O)c1cccc2ccccc12.[I-]
SMILES(SDF),
MW(SDF),
MW(RDKit),369.246
MW Monoisotopic(RDKit),369.05896226
MolLogP(RDKit),0.122800000000002
XLogP(SDF),
XLogP(CDK),3.707
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),17.07
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.425378285807438
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,10758.974594252993
qed,0.42537828580743836
Chi0,13.173362107437436
Chi1,8.472145112102217
TPSA,17.07
Chi0n,11.689091805673526
Chi0v,13.846590096849848
Chi1n,6.286913293387835
Chi1v,6.286913293387835
Chi2n,5.7138162238177745
Chi2v,5.7138162238177745
Chi3n,3.0997294013075885
Chi3v,3.0997294013075885
Chi4n,2.0401833460249468
Chi4v,2.0401833460249468
MolMR,75.79490000000006
MolWt,369.246
fr_SH,0
Kappa1,16.115370985603544
Kappa2,6.479198508194974
Kappa3,4.282042940067969
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,566.9657959157684
MolLogP,0.12280000000000024
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8049990127922281e-06
SMR_VSA1,33.25420816702851
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,27.687772353944144
SMR_VSA7,48.02802097092827
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,1
LabuteASA,131.57784001108814
NHOHCount,0
PEOE_VSA1,28.45967098295668
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,42.46456947923127
PEOE_VSA7,10.772448428929591
PEOE_VSA8,5.563451491696996
PEOE_VSA9,34.108593976870154
RingCount,2
SMR_VSA10,16.55569337529453
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,369.05896226
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,5.783244946364939
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,23.97664012526206
SlogP_VSA2,37.95404815800371
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,16.778810298694825
SlogP_VSA6,42.46456947923127
SlogP_VSA7,0.0
SlogP_VSA8,10.772448428929591
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,29.759885071626996
EState_VSA3,6.4208216229260096
EState_VSA4,27.363687184233786
EState_VSA5,0.0
EState_VSA6,0.0
EState_VSA7,42.46456947923127
EState_VSA8,21.143015948031568
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.8159782848324514
VSA_EState9,37.35068838183422
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.3125
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-0.9399999999999995
NumHAcceptors,1
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,19
HeavyAtomMolWt,349.0859999999999
MaxEStateIndex,12.295327853363569
MinEStateIndex,0.0
NumHeteroatoms,3
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0
FpDensityMorgan2,1.631578947368421
FpDensityMorgan3,2.3157894736842106
MaxPartialCharge,0.16861059234201728
MinPartialCharge,-1.0
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.295327853363569
MinAbsEStateIndex,0.0
NumAliphaticRings,0
NumRotatableBonds,4
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,1
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,1.0
MinAbsPartialCharge,0.16861059234201728
NumRadicalElectrons,0
NumValenceElectrons,102
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,369.05896226000056
MZ,0.7863247863247864
Mi,1.1174659462777896
Mm,0.7882656069543088
Mp,0.7263605097497315
Mv,0.6274618098503707
SZ,30.66666666666667
Si,43.581171904833795
Sm,30.742358671218042
Sp,28.32805988023953
Sv,24.471010584164457
nB,0
nC,16
nF,0
nH,20
nI,1
nN,1
nO,1
nP,0
nS,0
nX,1
ABC,13.899854166519615
AMW,9.46305031435899
IC0,1.4280031958430879
IC1,2.800313494529746
IC2,3.5816721682500834
IC3,4.034274333747602
IC4,4.278114718473933
IC5,4.329396769755985
Mpe,0.9445952740070382
Mse,0.9842007955627773
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,75.79490000000006
SdO,12.295327853363569
SdS,0
Spe,36.83921568627449
SsF,0
SsI,0
Sse,38.383831026948315
StN,0
fMF,0.2564102564102564
nBr,0
nCl,0
BIC0,0.2600221037954299
BIC1,0.5099032048765574
BIC2,0.6521791652882691
BIC3,0.7345925433518598
BIC4,0.7789929270564594
BIC5,0.7883307681062
CIC0,3.857399023019161
CIC1,2.4850887243325026
CIC2,1.7037300506121653
CIC3,1.2511278851146468
CIC4,1.0072875003883155
CIC5,0.9560054491062635
GGI1,4.5
GGI2,2.222222222222223
GGI3,1.1875
GGI4,0.9955555555555557
GGI5,0.4375
GGI6,0.36489795918367346
GGI7,0.28125
GGI8,0.15192743764172334
GGI9,0.046875
JGI1,0.23684210526315785
JGI2,0.08230452674897124
JGI3,0.0475
