DLiP-ID,T003QU
Kappa3,3.37977955472916
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,817.2608157081334
MolLogP,2.29716
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.9633040688424268
SMR_VSA1,12.940891921302285
SMR_VSA2,0.0
SMR_VSA3,15.195546725583863
SMR_VSA4,0.0
SMR_VSA5,44.550179149589624
SMR_VSA6,13.08951281182515
SMR_VSA7,35.21672811080473
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,142.22803689762844
NHOHCount,2
PEOE_VSA1,9.83988354097968
PEOE_VSA2,0.0
PEOE_VSA3,13.139891848781026
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,17.289397394048667
PEOE_VSA7,57.350881302692066
PEOE_VSA8,18.150048726757532
PEOE_VSA9,10.589411470366237
RingCount,3
SMR_VSA10,10.023291153407584
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,349.14601259600005
NumHDonors,2
PEOE_VSA10,5.760247418874442
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.038883468458419
SlogP_VSA2,32.70581388242749
SlogP_VSA3,10.023291153407584
SlogP_VSA4,20.771211599071872
SlogP_VSA5,29.859270151271918
SlogP_VSA6,27.617679617875954
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,6.041840829147961
EState_VSA3,17.200487300304793
EState_VSA4,41.77068212170404
EState_VSA5,0.0
EState_VSA6,6.06636706846161
EState_VSA7,32.903945735995094
EState_VSA8,15.195546725583863
EState_VSA9,4.523094936973348
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,30.873475229993538
VSA_EState9,28.44739258935643
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,8.417796984328938
EState_VSA11,0.0
FractionCSP3,0.47058823529411764
VSA_EState10,-3.5708678193499614
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.6999999999999997
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,24
HeavyAtomMolWt,326.2720000000001
MaxEStateIndex,12.83494354686319
MinEStateIndex,-3.5708678193499614
NumHeteroatoms,7
fr_aryl_methyl,3
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2916666666666667
FpDensityMorgan2,2.0833333333333335
FpDensityMorgan3,2.7083333333333335
MaxPartialCharge,0.2406448162201812
MinPartialCharge,-0.36078424234705847
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.83494354686319
MinAbsEStateIndex,0.06400898631057439
NumAliphaticRings,1
NumRotatableBonds,4
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.36078424234705847
MinAbsPartialCharge,0.2406448162201812
NumRadicalElectrons,0
NumValenceElectrons,130
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,349.1460125960007
MZ,0.6595744680851064
Mi,1.131835134962014
Mm,0.6190229877931044
Mp,0.666737660848516
Mv,0.6135396278219746
SZ,31.000000000000004
Si,53.196251343214655
Sm,29.094080426275905
Sp,31.33667005988025
Sv,28.836362507632806
nB,0
nC,17
nF,0
nH,23
nI,0
nN,3
nO,3
nP,0
nS,1
nX,0
ABC,18.80741294037139
AMW,7.428638565872355
IC0,1.6601512283820201
IC1,3.4413268829020622
IC2,4.463435393908611
IC3,5.038319436645928
IC4,5.038319436645928
IC5,5.038319436645928
MID,48.43206786804252
Mpe,0.9676261994159361
Mse,1.0057104337450222
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,92.36320000000005
SdO,25.66988709372638
SdS,0
Spe,45.478431372549
SsF,0
SsI,0
Sse,47.268390386016044
StN,0
fMF,0.40425531914893614
nBr,0
nCl,0
AMID,2.018002827835105
BIC0,0.2858704609350468
BIC1,0.5925807754286121
BIC2,0.7685831938660246
BIC3,0.8675756009864817
BIC4,0.8675756009864817
BIC5,0.8675756009864817
CIC0,3.8944376232956177
CIC1,2.1132619687755754
CIC2,1.0911534577690265
CIC3,0.5162694150317098
CIC4,0.5162694150317098
CIC5,0.5162694150317098
GGI1,6.0
GGI2,3.5555555555555567
GGI3,2.7222222222222223
GGI4,1.4322222222222227
GGI5,1.0277777777777777
GGI6,0.8652154195011339
GGI7,0.2969458616780045
GGI8,0.19046831695641217
GGI9,0.09375771604938271
JGI1,0.23076923076923078
JGI2,0.09356725146198833
JGI3,0.07163742690058479
JGI4,0.03870870870870872
JGI5,0.031144781144781142
JGI6,0.027910174822617217
JGI7,0.009898195389266815
JGI8,0.012697887797094146
JGI9,0.006696979717813052
MIC0,18.27506833630499
MIC1,34.90064783716041
MIC2,39.561870543331814
MIC3,40.14135365841103
MIC4,40.14135365841103
MIC5,40.14135365841103
MPC2,38
MPC3,49
MPC4,64
MPC5,71
MPC6,72
MPC7,86
MPC8,82
MPC9,81
Mare,0.9808510638297876
NaaN,1
NaaO,1
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.2114623784946249
RPCG,0.14104641843356905
SIC0,0.298879228096353
SIC1,0.619546644188199
SIC2,0.8035581954118047
SIC3,0.9070553322995666
SIC4,0.9070553322995666
SIC5,0.9070553322995666
SaaN,3.9520760040190956
SaaO,5.203588136267158
SaaS,0
Sare,46.100000000000016
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,78.02710773395495
TIC1,161.74236349639693
TIC2,209.78146351370472
TIC3,236.8010135223586
TIC4,236.8010135223586
TIC5,236.8010135223586
Vabc,308.4065232933269
WPol,38
apol,52.33223899999997
bpol,32.605760999999994
nRot,4
ABCGG,16.04195984510773
ATS0Z,1230.0
ATS0d,151.0
ATS0i,7706.0139031253275
ATS0m,4860.195279000002
ATS0p,71.60700881152697
ATS0s,206.2994684499314
ATS0v,9890.605538974769
ATS1Z,1452.0
ATS1d,189.0
ATS1i,7194.864704368496
ATS1m,5539.920146000004
ATS1p,91.72791511000004
ATS1s,127.3317901234568
ATS1v,12778.408319215396
ATS2Z,1980.0
ATS2d,309.0
ATS2i,13849.286626870467
ATS2m,7410.672235
ATS2p,138.332850883037
ATS2s,296.3888888888889
ATS2v,18958.761510460434
ATS3Z,2219.0
ATS3d,341.0
ATS3i,18076.154051282992
ATS3m,8066.192140999998
ATS3p,164.89623132728195
ATS3s,313.2345679012345
ATS3v,21544.041328077175
ATS4Z,2287.0
ATS4d,353.0
ATS4i,20372.113616633716
ATS4m,8105.937009000001
ATS4p,168.8513715232249
ATS4s,377.04938271604937
ATS4v,21700.74458488346
ATS5Z,2045.0
ATS5d,309.0
ATS5i,19502.834509828754
ATS5m,7157.756862
ATS5p,152.01734992013107
ATS5s,422.14043209876525
ATS5v,20014.12246741198
ATS6Z,1898.0
ATS6d,288.0
ATS6i,17811.75484762139
ATS6m,6821.078026999999
ATS6p,141.62032529977202
ATS6s,304.6064814814813
ATS6v,18352.32604086624
ATS7Z,1731.0
ATS7d,260.0
ATS7i,16173.974409689617
ATS7m,6070.800921999997
ATS7p,131.48438227673498
ATS7s,364.1388888888888
ATS7v,17286.252137424468
ATS8Z,1080.0
ATS8d,224.0
ATS8i,18204.725616774183
ATS8m,3292.515359
ATS8p,114.24134771298
ATS8s,282.99999999999983
ATS8v,14124.27711225224
C1SP1,0
C1SP2,0
C1SP3,5
C2SP1,0
C2SP2,6
C2SP3,3
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.47058823529411764
GGI10,0.048366493214978074
JGI10,0.004836649321497808
JGT10,0.5278672860335828
Kier1,18.781065088757398
Kier2,7.7091412742382275
Kier3,4.233236151603498
MAXdO,12.83494354686319
MID_C,34.70445847906242
MID_N,6.003786498989101
MID_O,5.480665070636045
MID_X,0.0
MID_h,13.72760938898011
MINdO,12.83494354686319
MPC10,76
MWC01,26.0
MWC02,4.859812404361672
MWC03,5.713732805509369
MWC04,6.616065185132817
MWC05,7.487173694213739
MWC06,8.39366870513074
MWC07,9.27284557732758
MWC08,10.180475142322448
MWC09,11.064745947854508
MWC10,11.972619886474188
NaaCH,3
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,6
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,3
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.29716
SRW02,3.970291913552122
SRW03,0.0
SRW04,5.3230099791384085
SRW05,2.3978952727983707
SRW06,6.8658910748834385
SRW07,4.727387818712341
SRW08,8.493924564476883
SRW09,6.78332520060396
SRW10,10.167504297059917
SaaCH,5.442860056059461
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,4.130010138186997
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,5.491982053623919
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,6.049293904481495
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.288723753706116
VE1_D,4.829533595647755
VE2_A,0.17869682307108817
VE2_D,0.20123056648532311
VE3_A,2.3314579327253155
VE3_D,2.4502186363076897
VR1_A,196.2480557182756
VR1_D,137.2679790770165
VR2_A,8.177002321594816
VR2_D,5.71949912820902
VR3_A,6.154848186799319
VR3_D,5.797403804261091
WPath,1315
Xc-3d,2.3573366500459647
Xc-4d,0.2041241452319315
Xc-5d,0.5805415260169906
Xc-6d,0.08333333333333333
Xp-0d,17.319626477379405
Xp-1d,11.381847280265067
Xp-2d,10.96291863381641
Xp-3d,8.715471811546832
Xp-4d,7.480730009781735
Xp-5d,5.327944711549979
Xp-6d,3.162677871149106
Xp-7d,2.558924165301719
ZMIC0,79.02516401851516
ZMIC1,38.7567474552162
ZMIC2,28.118434538014558
ZMIC3,25.013878099213407
ZMIC4,25.013878099213407
ZMIC5,25.013878099213407
nAcid,0
nAtom,47
nBase,1
nRing,3
piPC1,3.5409593240373143
piPC2,4.185859671057874
piPC3,4.687901583585556
piPC4,5.250635962476888
piPC5,5.6183607426022055
piPC6,5.902633333401366
piPC7,6.368347979597522
piPC8,6.565529019678228
piPC9,6.786028931807377
AATS0Z,26.170212765957448
AATS0d,3.2127659574468086
AATS0i,163.95774261968782
AATS0m,103.40841019148941
AATS0p,1.5235533789686588
AATS0s,4.389350392551732
AATS0v,210.43841572286743
AATS1Z,29.632653061224488
AATS1d,3.857142857142857
AATS1i,146.83397355854072
AATS1m,113.05959481632661
AATS1p,1.8719982675510212
AATS1s,2.5986079617032
AATS1v,260.7838432492938
AATS2Z,22.247191011235955
AATS2d,3.4719101123595504
AATS2i,155.60996209966817
AATS2m,83.26598016853933
AATS2p,1.5543016953150224
AATS2s,3.330212234706617
AATS2v,213.01979225236443
AATS3Z,19.464912280701753
AATS3d,2.991228070175439
AATS3i,158.56275483581572
AATS3m,70.75607141228068
AATS3p,1.446458169537561
AATS3s,2.747671648256443
AATS3v,188.98281866734365
AATS4Z,18.007874015748033
AATS4d,2.779527559055118
AATS4i,160.41034343806075
AATS4m,63.826275661417334
AATS4p,1.3295383584505898
AATS4s,2.9688927772917273
AATS4v,170.8720046053816
AATS5Z,17.041666666666668
AATS5d,2.575
AATS5i,162.5236209152396
AATS5m,59.64797385
AATS5p,1.2668112493344255
AATS5s,3.517836934156377
AATS5v,166.78435389509983
AATS6Z,17.0990990990991
AATS6d,2.5945945945945947
AATS6i,160.46625988848098
AATS6m,61.451153396396386
AATS6p,1.2758587864844326
AATS6s,2.744202535869201
AATS6v,165.3362706384346
AATS7Z,16.970588235294116
AATS7d,2.549019607843137
AATS7i,158.5683765655845
AATS7m,59.51765609803918
AATS7p,1.289062571340539
AATS7s,3.5699891067538116
AATS7v,169.47306017082812
AATS8Z,9.908256880733944
AATS8d,2.055045871559633
AATS8i,167.01583134655215
AATS8m,30.206562926605503
AATS8p,1.0480857588346788
AATS8s,2.596330275229356
AATS8v,129.5805239656169
AMID_C,1.4460191032942673
AMID_N,0.25015777079121254
AMID_O,0.2283610446098352
AMID_X,0.0
AMID_h,0.5719837245408379
ATS0dv,316.44444444444446
ATS0pe,291.74449999999985
ATS0se,362.1173489999999
ATS1dv,268.3333333333333
ATS1pe,317.6362000000001
ATS1se,382.6382159999997
ATS2dv,467.66666666666663
ATS2pe,563.4652999999997
ATS2se,688.8212899999997
ATS3dv,400.0
ATS3pe,709.0716000000001
ATS3se,877.654622
ATS4dv,384.66666666666663
ATS4pe,787.5577000000001
ATS4se,983.0130040000001
ATS5dv,393.66666666666663
ATS5pe,764.6976999999998
ATS5se,950.4247660000004
ATS6dv,323.6666666666667
ATS6pe,674.7279000000003
ATS6se,846.5198639999996
ATS7dv,335.0
ATS7pe,640.8621000000002
ATS7se,793.0769839999998
ATS8dv,129.0
ATS8pe,661.9155000000001
ATS8se,834.27938
ATSC0Z,493.9148936170213
ATSC0c,0.5427194413864449
ATSC0d,31.31914893617021
ATSC0i,71.80353429445461
ATSC0m,2262.012223659575
ATSC0p,13.337578199758461
ATSC0s,76.32967413828332
ATSC0v,2397.638159376406
ATSC1Z,125.91851516523293
ATSC1c,-0.2393270169546868
ATSC1d,12.177908555907655
ATSC1i,-3.547630180905988
ATSC1m,544.9866265676784
ATSC1p,-0.5940557775417639
ATSC1s,-15.923046796649952
ATSC1v,87.94500645088132
ATSC2Z,124.79945676776816
ATSC2c,0.010953066847254531
ATSC2d,2.650973291081939
ATSC2i,3.1711154413452394
ATSC2m,584.7330524318703
ATSC2p,1.9176981454980928
ATSC2s,43.96357877985124
ATSC2v,435.9280951412642
ATSC3Z,-0.5382526029877979
ATSC3c,-0.002884142926786656
ATSC3d,-10.19963784517882
ATSC3i,10.352217582968755
ATSC3m,1.0482729108199997
ATSC3p,1.674175698177205
ATSC3s,-4.708489082572173
ATSC3v,37.368457944852366
ATSC4Z,-172.1742870076958
ATSC4c,-0.010421379307258642
ATSC4d,-11.37301946582164
ATSC4i,-20.349046518720037
ATSC4m,-752.8567927184239
ATSC4p,-4.825750627051622
ATSC4s,-2.148623390966373
ATSC4v,-372.2024105114116
ATSC5Z,-234.9103666817565
ATSC5c,0.03622311540175574
ATSC5d,6.589406971480308
ATSC5i,6.334884474619327
ATSC5m,-1065.8843537478494
ATSC5p,-0.08221721777619559
ATSC5s,-45.225938508508364
ATSC5v,-457.8045003113277
ATSC6Z,98.45631507469437
ATSC6c,-0.2639588298574915
ATSC6d,-11.796287913082844
ATSC6i,-11.894470617069397
ATSC6m,450.09075293164346
ATSC6p,0.3628255704398954
ATSC6s,-26.08238009210357
ATSC6v,294.8486802611752
ATSC7Z,-205.53870529651428
ATSC7c,0.4011444257345262
ATSC7d,-18.033046627433226
ATSC7i,-39.423518805156675
ATSC7m,-937.9439071122672
ATSC7p,-9.346012941913058
ATSC7s,41.543511672227524
ATSC7v,-1329.817897971494
ATSC8Z,-335.3345405160706
ATSC8c,-0.2763236679313765
ATSC8d,3.6853779990946127
ATSC8i,7.102934833672418
ATSC8m,-1580.1399598062478
ATSC8p,-1.426424013601022
ATSC8s,-53.86618361504034
ATSC8v,-1218.3215717338487
AXp-0d,0.7216511032241418
AXp-1d,0.4377633569332718
AXp-2d,0.28849785878464235
AXp-3d,0.17786677166422107
AXp-4d,0.11688640640283961
AXp-5d,0.07504147481056309
AXp-6d,0.04392608154373759
AXp-7d,0.029754932154671152
GATS1Z,0.8695623506575025
GATS1c,1.492472553871807
GATS1d,0.9142219387755104
GATS1i,1.3419937582377701
GATS1m,0.8632220593127183
GATS1p,1.30946301018726
GATS1s,0.761721413988636
GATS1v,1.0463547088416647
GATS2Z,0.8031452349076448
GATS2c,1.041346975436795
GATS2d,1.1882022471910114
GATS2i,1.1065486706713132
GATS2m,0.8006880059157786
GATS2p,0.9535586253687889
GATS2s,0.49319064203308305
GATS2v,0.9138602868730901
GATS3Z,1.0694008001825879
GATS3c,1.0683624339720896
GATS3d,1.2754934210526319
GATS3i,1.0303743138790495
GATS3m,1.0584020210136824
GATS3p,1.0399226455908843
GATS3s,0.8742064498064694
GATS3v,0.9981186471247677
GATS4Z,1.4439352033696744
GATS4c,1.1642669864454551
GATS4d,1.3357529527559058
GATS4i,1.1657634415126152
GATS4m,1.4063664448054065
GATS4p,1.370443162228382
GATS4s,1.2201806157289214
GATS4v,1.0667067578385443
GATS5Z,1.3034802992447085
GATS5c,1.1277846539598688
GATS5d,0.9485677083333336
GATS5i,0.957948764344468
GATS5m,1.2892373570482332
GATS5p,1.0402977691794582
GATS5s,2.1768151809522496
GATS5v,1.0174852479389465
GATS6Z,0.9716084655345445
GATS6c,1.094218708881757
GATS6d,1.2901182432432434
GATS6i,1.0333863721186007
GATS6m,0.964542222117992
GATS6p,1.046022628872954
GATS6s,1.445092110462056
GATS6v,0.9515093876390013
GATS7Z,1.2604973841005342
GATS7c,0.6862492669338833
GATS7d,1.346354166666667
GATS7i,1.287236398617112
GATS7m,1.2498210027547216
GATS7p,1.3941429256781919
GATS7s,0.9993834644067799
GATS7v,1.245778733144347
GATS8Z,1.023186340416215
GATS8c,1.1913685860910193
GATS8d,0.6467889908256882
GATS8i,0.8537485563732279
GATS8m,1.0556071398426612
GATS8p,0.774114653853395
GATS8s,1.4882695992046824
GATS8v,1.1226326044194266
MATS1Z,0.2445339986602029
MATS1c,-0.422978337935768
MATS1d,0.37296195652173925
MATS1i,-0.04739082807648195
MATS1m,0.23109613157490436
MATS1p,-0.04272204401834671
MATS1s,-0.20009421881673406
MATS1v,0.03518271262949247
MATS2Z,0.13343458954931298
MATS2c,0.010657815806097717
MATS2d,0.04469956033219349
MATS2i,0.02332244524688019
MATS2m,0.1365119112658144
MATS2p,0.07592960153761093
MATS2s,0.3041637690744351
MATS2v,0.09601499620874392
MATS3Z,-0.000449290280063923
MATS3c,-0.002190959783526284
MATS3d,-0.13426654271548447
MATS3i,0.059440243043162734
MATS3m,0.0001910611652680549
MATS3p,0.051750799235586634
MATS3s,-0.02543203813039859
MATS3v,0.00642561264081231
MATS4Z,-0.12900611835513323
MATS4c,-0.007106306925141672
MATS4d,-0.13438783806915441
MATS4i,-0.10487992789006031
MATS4m,-0.12317187787671587
MATS4p,-0.1339004492139193
MATS4s,-0.010417440485350038
MATS4v,-0.05744995283252664
MATS5Z,-0.18628019011516042
MATS5c,0.026141291031410642
MATS5d,0.08240489130434783
MATS5i,0.034554888004784325
MATS5m,-0.18455752250939314
MATS5p,-0.002414362123821932
MATS5s,-0.2320656125219178
MATS5v,-0.0747847467812124
MATS6Z,0.08440464242997192
MATS6c,-0.20593762238474234
MATS6d,-0.15948149236192719
MATS6i,-0.07014135888959724
MATS6m,0.08425196179940017
MATS6p,0.011518496299725473
MATS6s,-0.14468672628710136
MATS6v,0.05207034143155944
MATS7Z,-0.19175168128766112
MATS7c,0.3405830799882345
MATS7d,-0.2653119671781756
MATS7i,-0.2529922689151113
MATS7m,-0.19106432539631318
MATS7p,-0.3228844168716437
MATS7s,0.2507884218260174
MATS7v,-0.2555678491770582
MATS8Z,-0.2927504203015738
MATS8c,-0.21954020523755574
MATS8d,0.05073918029517352
MATS8i,0.042654353977729965
MATS8m,-0.30121179107009594
MATS8p,-0.04611508598381279
MATS8s,-0.30429453929791334
MATS8v,-0.2191036699459966
MAXaaN,3.9520760040190956
MAXaaO,5.203588136267158
MINaaN,3.9520760040190956
MINaaO,5.203588136267158
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,-3.5708678193499614
SdssSe,0
SdsssP,0
SpAD_A,30.30136719037582
SpAD_D,226.362641473466
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,3.445179419296032
SssNH2,0
SsssAs,0
SsssCH,-0.06400898631057439
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,669
TMWC10,125.56113934832705
TSRW10,72.72923012122544
VE1_Dt,4.828370552125575
VE2_Dt,0.20118210633856562
VE3_Dt,2.44997778829139
VR1_Dt,136.61106061182778
VR2_Dt,5.6921275254928245
VR3_Dt,5.792606652016642
Xc-3dv,1.2792747799476696
Xc-4dv,0.05103103630798288
Xc-5dv,0.27799334002018056
Xc-6dv,0.01473139127471974
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.09622504486493763
Xch-6d,0.4181090996453738
Xch-7d,0.49941814243847554
Xp-0dv,15.034531539787832
Xp-1dv,9.635362368630226
Xp-2dv,8.026413028982736
Xp-3dv,6.08089177680354
Xp-4dv,4.716565074898029
Xp-5dv,3.0547335075253974
Xp-6dv,1.8463472360405002
Xp-7dv,1.30484475164208
Xpc-4d,4.58586027708946
Xpc-5d,8.056521856810921
Xpc-6d,11.258427282380474
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,49
nFRing,0
nHBAcc,5
nHBDon,2
nHRing,2
nSpiro,0
naRing,2
piPC10,6.841982663329753
AATS0dv,6.732860520094563
AATS0pe,6.207329787234039
AATS0se,7.704624446808508
AATS1dv,5.476190476190475
AATS1pe,6.4823714285714304
AATS1se,7.808943183673463
AATS2dv,5.254681647940075
AATS2pe,6.331070786516851
AATS2se,7.739565056179773
AATS3dv,3.508771929824561
AATS3pe,6.219926315789475
AATS3se,7.698724754385965
AATS4dv,3.028871391076115
AATS4pe,6.201241732283465
AATS4se,7.7402598740157496
AATS5dv,3.2805555555555554
AATS5pe,6.372480833333332
AATS5se,7.920206383333337
AATS6dv,2.915915915915916
AATS6pe,6.078629729729733
AATS6se,7.626305081081078
AATS7dv,3.284313725490196
AATS7pe,6.282961764705884
AATS7se,7.775264549019606
AATS8dv,1.18348623853211
AATS8pe,6.072619266055047
AATS8se,7.653939266055046
AATSC0Z,10.50882752376641
AATSC0c,0.011547222157158402
AATSC0d,0.6663648709823449
AATSC0i,1.5277347722224384
AATSC0m,48.12791965233138
AATSC0p,0.28377825956932895
AATSC0s,1.624035619963475
AATSC0v,51.01357785907246
AATSC1Z,2.5697656156169986
AATSC1c,-0.004884224835809935
AATSC1d,0.2485287460389317
AATSC1i,-0.0724006159368569
AATSC1m,11.1221760524016
AATSC1p,-0.012123587296770691
AATSC1s,-0.3249601387071419
AATSC1v,1.7947960500179863
AATSC2Z,1.402241087278294
AATSC2c,0.0001230681668230846
AATSC2d,0.029786216753729652
AATSC2i,0.0356305105769128
AATSC2m,6.5700342969873065
AATSC2p,0.021547170174135873
AATSC2s,0.49397279527922744
AATSC2v,4.898068484733305
AATSC3Z,-0.004721514061296473
AATSC3c,-2.5299499357777682e-05
AATSC3d,-0.0894705074138493
AATSC3i,0.09080892616639259
AATSC3m,0.009195376410701752
AATSC3p,0.014685751738396534
AATSC3s,-0.041302535812036606
AATSC3v,0.327793490744319
AATSC4Z,-1.3557030473046914
AATSC4c,-8.205810478156411e-05
AATSC4d,-0.08955133437654834
AATSC4i,-0.16022871274582706
AATSC4m,-5.928006241877354
AATSC4p,-0.03799803643347734
