DLiP-ID,C003GM
DLiP-Mol-ID,33988
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H20FN5O4.CH4O3S/c1-28-22-14-8-23(6-9(14)5-20)17-13(19)4-11-15(25)12(18(26)27)7-24(10-2-3-10)16(11)21-17;1-5(2,3)4/h4,7,9-10H,2-3,5-6,8,20H2,1H3,(H,26,27);1H3,(H,2,3,4)/b22-14+;"
Standard Inchi Key(RDKit),JIYMVSQRGZEYAX-CWUUNJJBSA-N
Canonical SMILES(RDKit),CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN.CS(=O)(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),485.494
MW Monoisotopic(RDKit),485.138047328
MolLogP(RDKit),0.470000000000001
XLogP(SDF),
XLogP(CDK),2.485
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),10
HBA Lipinski(RDKit),12
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),177.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.398220328168428
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,17836759.713991567
qed,0.3982203281684284
Chi0,24.499271042140986
Chi1,15.439090705625684
TPSA,177.41
Chi0n,17.933021040673022
Chi0v,18.74951762160075
Chi1n,9.902198292219358
Chi1v,11.750509911483864
Chi2n,7.791829649088732
Chi2v,9.257869847913433
Chi3n,5.167536702555579
Chi3v,5.167536702555579
Chi4n,3.595955121296533
Chi4v,3.595955121296533
MolMR,117.86530000000003
MolWt,485.49400000000026
fr_SH,0
Kappa1,24.540618704611784
Kappa2,9.407809853588768
Kappa3,5.638554954284527
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1265.508949285827
MolLogP,0.47000000000000114
NOCount,12
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,5.549998829416112e-07
SMR_VSA1,32.09961506834328
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,16.807286250074117
SMR_VSA5,18.88348407499998
SMR_VSA6,37.89974567337714
SMR_VSA7,33.86721054878994
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,1
