DLiP-ID,P000CP
EState_VSA3,41.21708172909773
EState_VSA4,11.126902983393991
EState_VSA5,33.27606641916891
EState_VSA6,13.176164609739143
EState_VSA7,6.06636706846161
EState_VSA8,5.316788604006331
EState_VSA9,14.210588861400147
SlogP_VSA10,0.0
SlogP_VSA11,22.99804733313562
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,70.0
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,3
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.69560176298435
EState_VSA11,0.0
FractionCSP3,0.3333333333333333
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.22
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,28
HeavyAtomMolWt,362.23200000000014
MaxEStateIndex,12.285891291331858
MinEStateIndex,-0.5143559723272018
NumHeteroatoms,7
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1071428571428572
FpDensityMorgan2,1.8214285714285714
FpDensityMorgan3,2.4285714285714284
MaxPartialCharge,0.2199795636566846
MinPartialCharge,-0.5041213056042123
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.285891291331858
MinAbsEStateIndex,0.20165808453010814
NumAliphaticRings,1
NumRotatableBonds,4
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5041213056042123
MinAbsPartialCharge,0.2199795636566846
NumRadicalElectrons,0
NumValenceElectrons,148
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,385.1525374560007
MZ,0.6666666666666665
Mi,1.1239781495042533
Mm,0.6291879502612802
Mp,0.6612450275918752
Mv,0.6328976065899595
SZ,33.99999999999999
Si,57.322885624716925
Sm,32.08858546332529
Sp,33.723496407185635
Sv,32.277777936087936
nB,0
nC,21
nF,0
nH,23
nI,0
nN,1
nO,6
nP,0
nS,0
nX,0
ABC,21.327241718402096
AMW,7.552010538352954
IC0,1.5196730699716485
IC1,3.535236257548305
IC2,4.5980334298250005
IC3,4.8481292632007555
IC4,4.941362351478471
IC5,5.221061616311615
MID,56.604659485716255
Mpe,0.9829296424452133
Mse,1.0168087628350684
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,104.34750000000005
SdO,24.04347051672674
SdS,0
Spe,50.12941176470588
SsF,0
SsI,0
Sse,51.85724690458849
StN,0
fMF,0.3137254901960784
nBr,0
nCl,0
AMID,2.0215949816327234
BIC0,0.25623678532290667
BIC1,0.5960871399846949
BIC2,0.775288664480708
BIC3,0.8174580979155273
BIC4,0.8331784178304247
BIC5,0.8803393775751164
CIC0,4.152752271999846
CIC1,2.13718908442319
CIC2,1.0743919121464947
CIC3,0.8242960787707396
CIC4,0.7310629904930241
CIC5,0.45136372565988037
GGI1,6.0
GGI2,3.7777777777777795
GGI3,2.6875
GGI4,2.7905555555555557
GGI5,1.4727777777777777
GGI6,1.268208616780045
GGI7,0.7344812925170069
GGI8,0.41272990677752575
GGI9,0.1446913580246914
JGI1,0.19999999999999998
JGI2,0.08785529715762276
JGI3,0.04714912280701754
JGI4,0.048113026819923375
JGI5,0.02583820662768031
JGI6,0.025881808505715205
JGI7,0.018832853654282226
JGI8,0.01650919627110103
JGI9,0.010335097001763669
MIC0,14.222543510841646
MIC1,33.38694751800042
MIC2,39.36103138138081
MIC3,41.01078520779481
MIC4,42.13060783109845
MIC5,42.41254469005025
MPC2,43
MPC3,60
MPC4,83
MPC5,113
MPC6,143
MPC7,167
MPC8,189
MPC9,208
Mare,0.9974117647058824
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,3
NssS,0
NtCH,0
NtsC,0
RNCG,0.1639156881517607
RPCG,0.09536586501544228
SIC0,0.2679053453074579
SIC1,0.6232318707467742
SIC2,0.8105939087118806
SIC3,0.8546836619123753
SIC4,0.871119856777359
SIC5,0.9204284413723098
SaaN,0
SaaO,0
SaaS,0
Sare,50.868
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,9.959693391258146
SsSH,0
SssO,16.632629099479296
SssS,0
StCH,0
StsC,0
TIC0,77.50332656855407
TIC1,180.29704913496357
TIC2,234.49970492107502
TIC3,247.25459242323853
TIC4,252.00947992540202
TIC5,266.27414243189236
Vabc,355.5492225302485
WPol,57
apol,56.318238999999984
bpol,30.587760999999997
nRot,4
ABCGG,18.019475321190832
ATS0Z,1212.0
ATS0d,169.0
ATS0i,8239.735252072727
ATS0m,4784.920068000001
ATS0p,73.86222081152698
ATS0s,266.05555555555554
ATS0v,11150.439893655146
ATS1Z,1341.0
ATS1d,210.0
ATS1i,7714.898282978349
ATS1m,5091.465250000001
ATS1p,93.369830796
ATS1s,182.91666666666669
ATS1v,13991.856163490751
ATS2Z,1955.0
ATS2d,345.0
ATS2i,14054.007556400737
ATS2m,7346.068483000001
ATS2p,137.71116828188605
ATS2s,296.9166666666667
ATS2v,20394.92691360843
ATS3Z,2631.0
ATS3d,449.0
ATS3i,17568.044830489147
ATS3m,9868.675989
ATS3p,186.67566073079198
ATS3s,426.4166666666667
ATS3v,27494.440950202006
ATS4Z,2838.0
ATS4d,478.0
ATS4i,21755.70476266854
ATS4m,10422.272758000001
ATS4p,210.94141091933898
ATS4s,452.75
ATS4v,30204.649061689008
ATS5Z,2933.0
ATS5d,507.0
ATS5i,26242.538718016083
ATS5m,10495.680409
ATS5p,225.61042197928197
ATS5s,518.5833333333334
ATS5v,31844.541748665866
ATS6Z,2765.0
ATS6d,441.0
ATS6i,27683.899249762588
ATS6m,9645.800305
ATS6p,215.472586890131
ATS6s,566.4444444444445
ATS6v,29802.688754154377
ATS7Z,2313.0
ATS7d,365.0
ATS7i,29066.09169846944
ATS7m,8041.6054189999995
ATS7p,183.43563035584603
ATS7s,582.1111111111112
ATS7v,24303.063673353467
ATS8Z,1664.0
ATS8d,260.0
ATS8i,23419.094864119907
ATS8m,5631.6984729999995
ATS8p,130.553793852205
ATS8s,484.3333333333333
ATS8v,16993.85472776446
C1SP1,0
C1SP2,1
C1SP3,1
C2SP1,0
C2SP2,9
C2SP3,3
C3SP2,4
C3SP3,0
C4SP3,0
FCSP3,0.3333333333333333
GGI10,0.0
JGI10,0.0
JGT10,0.4805146088451061
Kier1,22.68
Kier2,9.871281773931855
Kier3,4.694444444444445
MAXdO,12.285891291331858
MID_C,43.630587730307084
MID_N,1.9983975301976669
MID_O,10.975674225211495
MID_X,0.0
MID_h,12.974071755409163
MINdO,11.757579225394881
MPC10,216
MWC01,30.0
MWC02,4.990432586778736
MWC03,5.8664680569332965
MWC04,6.776506992372183
MWC05,7.681099001536359
MWC06,8.599878558034845
MWC07,9.515100775962715
MWC08,10.437726922711134
MWC09,11.357942772449716
MWC10,12.282501137479747
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,8
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,4
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.568600000000001
SRW02,4.110873864173311
SRW03,0.0
SRW04,5.4510384535657
SRW05,0.0
SRW06,6.985641817639208
SRW07,3.367295829986474
SRW08,8.619208116822968
SRW09,6.028278520230698
SRW10,10.311981402704301
SaaCH,6.272633219954648
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,4.053118517468718
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.20165808453010814
SdssS,0
SsCH3,6.044637569087424
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.9052517164273115
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.488322705739255
VE1_D,5.201450217193446
VE2_A,0.16029723949068767
VE2_D,0.18576607918548022
VE3_A,2.5310984869474256
VE3_D,2.678556891808349
VR1_A,231.34629305809557
VR1_D,175.21482482077923
VR2_A,8.2623676092177
VR2_D,6.25767231502783
VR3_A,6.4735351093156535
VR3_D,6.19563220866063
WPath,1757
Xc-3d,2.035094976317823
Xc-4d,0.0
Xc-5d,0.5601379391465906
Xc-6d,0.0
Xp-0d,20.42192077295136
Xp-1d,13.404615863015035
Xp-2d,11.947974486890956
Xp-3d,10.169775293676974
Xp-4d,8.713837991796774
Xp-5d,7.547879882134709
Xp-6d,5.906015946374103
Xp-7d,4.496669655382846
ZMIC0,96.5453051177772
ZMIC1,47.281794555259545
ZMIC2,32.47318858664564
ZMIC3,28.664792106912973
ZMIC4,26.33892274863785
ZMIC5,24.528314300224025
nAcid,0
nAtom,51
nBase,0
nRing,3
piPC1,3.676300671907076
piPC2,4.307437777682809
piPC3,4.908048705321154
piPC4,5.502532907976728
piPC5,6.101369409065431
piPC6,6.591823755048192
piPC7,6.974741972773
piPC8,7.325097490886768
piPC9,7.676763358706853
AATS0Z,23.764705882352942
AATS0d,3.3137254901960786
AATS0i,161.5634363151515
AATS0m,93.82196211764709
AATS0p,1.4482788394417054
AATS0s,5.21677559912854
AATS0v,218.63607634617932
AATS1Z,25.30188679245283
AATS1d,3.9622641509433962
AATS1i,145.5641185467613
AATS1m,96.06538207547172
AATS1p,1.7616949206792454
AATS1s,3.4512578616352205
AATS1v,263.9972861035991
AATS2Z,21.483516483516482
AATS2d,3.791208791208791
AATS2i,154.43964347693117
AATS2m,80.7260272857143
AATS2p,1.5133095415591873
AATS2s,3.262820512820513
AATS2v,224.120075973719
AATS3Z,22.68103448275862
AATS3d,3.8706896551724137
AATS3i,151.44866233180298
AATS3m,85.07479300862069
AATS3p,1.6092729373344137
AATS3s,3.676005747126437
AATS3v,237.02104267415524
AATS4Z,19.846153846153847
AATS4d,3.3426573426573425
AATS4i,152.13779554313666
AATS4m,72.88302627972028
AATS4p,1.475114761673699
AATS4s,3.1660839160839163
AATS4v,211.22132210971333
AATS5Z,17.458333333333332
AATS5d,3.017857142857143
AATS5i,156.20558760723858
AATS5m,62.47428814880953
AATS5p,1.342919178448107
AATS5s,3.086805555555556
AATS5v,189.55084374205873
AATS6Z,15.8
AATS6d,2.52
AATS6i,158.19370999864336
AATS6m,55.11885888571429
AATS6p,1.2312719250864628
AATS6s,3.236825396825397
AATS6v,170.30107859516787
AATS7Z,13.067796610169491
AATS7d,2.062146892655367
AATS7i,164.21520733598555
AATS7m,45.43279897740113
AATS7p,1.0363594935358533
AATS7s,3.2887633396107976
AATS7v,137.30544448222298
AATS8Z,11.885714285714286
AATS8d,1.8571428571428572
AATS8i,167.27924902942792
AATS8m,40.22641766428571
AATS8p,0.9325270989443214
AATS8s,3.4595238095238092
AATS8v,121.384676626889
AMID_C,1.5582352760823959
AMID_N,0.07137134036420238
AMID_O,0.39198836518612484
AMID_X,0.0
AMID_h,0.46335970555032724
ATS0dv,438.0
ATS0pe,328.11569999999995
ATS0se,403.18743999999987
ATS1dv,413.0
ATS1pe,350.0655
ATS1se,418.3364959999999
ATS2dv,590.0
ATS2pe,589.4756
ATS2se,717.8912439999999
ATS3dv,787.0
ATS3pe,761.5442999999998
ATS3se,919.8818279999999
ATS4dv,718.0
ATS4pe,913.9566
ATS4se,1113.6686879999997
ATS5dv,664.0
ATS5pe,1073.4506000000001
ATS5se,1319.552364
ATS6dv,660.0
ATS6pe,1113.8417
ATS6se,1375.76498
ATS7dv,566.0
ATS7pe,1076.1525
ATS7se,1355.6874039999998
ATS8dv,376.0
ATS8pe,854.7659
ATS8se,1081.136804
ATSC0Z,396.0
ATSC0c,1.6870591430941717
ATSC0d,33.921568627450974
ATSC0i,70.41661611181867
ATSC0m,1872.2633414117643
ATSC0p,11.67116112405404
ATSC0s,96.46732026143792
ATSC0v,2498.6128376299034
ATSC1Z,13.0
ATSC1c,-0.7344268478066519
ATSC1d,20.00307574009996
ATSC1i,-5.2414482495340184
ATSC1m,62.65819253287192
ATSC1p,-0.5264126257069413
ATSC1s,-7.070069204152247
ATSC1v,24.324146061557784
ATSC2Z,95.0
ATSC2c,-0.4993663554534596
ATSC2d,11.532103037293346
ATSC2i,24.526728985630598
ATSC2m,470.23993036332166
ATSC2p,5.005786130422577
ATSC2s,4.132929642445212
ATSC2v,1094.883648154093
ATSC3Z,27.0
ATSC3c,0.5820841853343707
ATSC3d,4.354863514033065
ATSC3i,25.801365132437986
ATSC3m,132.11162390657427
ATSC3p,3.5102571704499312
ATSC3s,6.450692041522497
ATSC3v,510.8918427064334
ATSC4Z,-62.0
ATSC4c,0.14087366739281137
ATSC4d,-23.701653210303725
ATSC4i,-33.789619894777914
ATSC4m,-307.6313320761245
ATSC4p,-5.468824378307244
ATSC4s,-14.198673587081894
ATSC4v,-917.4552388589641
ATSC5Z,-215.0
ATSC5c,-0.28108686977940306
ATSC5d,-22.87889273356401
ATSC5i,-20.97050137723068
ATSC5m,-1007.7580384740484
ATSC5p,-3.1734705274537944
ATSC5s,-29.047577854671278
ATSC5v,-984.1758583660128
ATSC6Z,-319.0
ATSC6c,-0.3410415470468583
ATSC6d,-18.26028450595925
ATSC6i,-46.36699406619191
ATSC6m,-1518.7574570207612
ATSC6p,-9.03413814052874
ATSC6s,-44.83121876201461
ATSC6v,-2158.517765173751
ATSC7Z,169.0
ATSC7c,0.2685139849519635
ATSC7d,-5.963091118800461
ATSC7i,-12.952272883862253
ATSC7m,777.4526870415226
ATSC7p,-1.9097241831043918
ATSC7s,48.907535563244906
ATSC7v,129.13476763682849
ATSC8Z,92.0
ATSC8c,-0.17918980931222
ATSC8d,-7.157247212610535
ATSC8i,-15.785793165617775
ATSC8m,415.9824371245676
ATSC8p,-2.098619772110795
ATSC8s,32.63437139561707
ATSC8v,-116.27001625528663
AXp-0d,0.7293543133196915
AXp-1d,0.4468205287671678
AXp-2d,0.2778598717881618
AXp-3d,0.16949625489461623
AXp-4d,0.10498599990116596
AXp-5d,0.06679539718703283
AXp-6d,0.04130081081380491
AXp-7d,0.026926165601094884
GATS1Z,0.7718696397941681
GATS1c,1.3692664380045008
GATS1d,0.625749809139492
GATS1i,1.2536398641273718
GATS1m,0.7777882026215872
GATS1p,1.1628192286094041
GATS1s,0.6838815678037873
GATS1v,0.9951271058086485
GATS2Z,0.7804695304695305
GATS2c,1.2224688183092016
GATS2d,1.0447500476402214
GATS2i,0.8826045782471493
GATS2m,0.7759302597217975
GATS2p,0.7969664671511814
GATS2s,0.6411636908096815
GATS2v,0.7376295346962671
GATS3Z,0.8430207244862418
GATS3c,0.803296846957094
GATS3d,1.2452660952760617
GATS3i,0.9685295957801653
GATS3m,0.8451826332283902
GATS3p,0.929432152515383
GATS3s,0.8652777404617247
GATS3v,0.89310269079728
GATS4Z,0.9301935438299075
GATS4c,0.8594011397109839
GATS4d,1.4379117991834758
GATS4i,1.2574257598779084
GATS4m,0.9377517152401892
GATS4p,1.2238780400737888
GATS4s,0.7798313851195046
GATS4v,1.132735382675064
GATS5Z,1.1051737614237613
GATS5c,1.0858398674479524
GATS5d,1.2590317919075147
GATS5i,1.1144127701951032
GATS5m,1.1042971062344011
GATS5p,1.0963835582200212
GATS5s,0.8326558036067165
GATS5v,1.0967591906729965
GATS6Z,1.2023809523809523
GATS6c,1.0562936082208847
GATS6d,1.0654830718414536
GATS6i,1.1854753122788413
GATS6m,1.2031381097665894
GATS6p,1.214452277078996
GATS6s,1.0850783756708753
GATS6v,1.219010003425013
GATS7Z,0.896678650915939
GATS7c,0.8175393460940145
GATS7d,0.8993827765259139
GATS7i,0.9616647847938624
GATS7m,0.9003827954345436
GATS7p,0.9977290620336747
GATS7s,0.8422541414004538
GATS7v,0.9824709020266549
GATS8Z,0.9780844155844155
GATS8c,1.013058437888486
GATS8d,0.8843930635838152
GATS8i,0.9649748354766796
GATS8m,0.9793779641384243
GATS8p,0.9769243607132829
GATS8s,1.0622274757662131
GATS8v,0.9908652233815552
MATS1Z,0.03158947970268725
MATS1c,-0.4189021054937931
MATS1d,0.5674337441378559
MATS1i,-0.07162596029241852
MATS1m,0.0322036601922825
MATS1p,-0.04340167982753558
MATS1s,-0.07052413316143677
MATS1v,0.009367699310930623
MATS2Z,0.13444888444888448
MATS2c,-0.16588906316310462
MATS2d,0.1905291240551356
MATS2i,0.19520604611132347
MATS2m,0.14076067935786674
MATS2p,0.24037373392151345
MATS2s,0.024010797292412515
MATS2v,0.24558270943888888
MATS3Z,0.029976489028213163
MATS3c,0.15169374702131574
MATS3d,0.05644309348216067
MATS3i,0.16109413178559903
MATS3m,0.031023177937519027
MATS3p,0.13223214940544353
MATS3s,0.029399387419674784
MATS3v,0.08989637682441451
MATS4Z,-0.05583810129264674
MATS4c,0.029780614276204743
MATS4d,-0.24919358098548852
MATS4i,-0.17113636133608717
MATS4m,-0.058600020869696
MATS4p,-0.1671144680843053
MATS4s,-0.05249303696066798
MATS4v,-0.13095438838258275
MATS5Z,-0.16481782106782106
MATS5c,-0.05057910563532708
MATS5d,-0.20474814203137906
MATS5i,-0.0904054385521169
MATS5m,-0.16339931495065552
MATS5p,-0.08254319954190127
MATS5s,-0.09140934652257868
MATS5v,-0.11957341561291386
MATS6Z,-0.23476190476190475
MATS6c,-0.05891272470233009
MATS6d,-0.15687861271676307
MATS6i,-0.19189599824975687
MATS6m,-0.23640334468777482
MATS6p,-0.2255821802473876
MATS6s,-0.1354354822317829
MATS6v,-0.25176119294435273
MATS7Z,0.12296695771272043
MATS7c,0.045859943119831964
MATS7d,-0.05065151366709122
MATS7i,-0.05299900843029836
MATS7m,0.11964758708170907
MATS7p,-0.04714693804131766
MATS7s,0.14608057665818222
MATS7v,0.014891591973770022
MATS8Z,0.08463203463203463
MATS8c,-0.03869235287051183
MATS8d,-0.07686209744013214
MATS8i,-0.08166451693407135
MATS8m,0.08093757746918794
MATS8p,-0.06550309729868178
MATS8s,0.12323588197432161
MATS8v,-0.016951608221842666
MAXsOH,9.959693391258146
MAXssO,5.664007385361552
MINsOH,9.959693391258146
MINssO,5.456997984378937
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,35.44423194745639
SpAD_D,260.56504953959444
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.1924541761148904
SssNH2,0
SsssAs,0
SsssCH,-0.38787414965986455
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1280
TMWC10,135.50765680425874
TSRW10,72.87431800512266
VE1_Dt,5.283377264820286
VE2_Dt,0.18869204517215307
VE3_Dt,2.6941849439097085
VR1_Dt,161.9511621940399
VR2_Dt,5.783970078358569
VR3_Dt,6.116914239024924
Xc-3dv,0.8086512600804479
Xc-4dv,0.0
Xc-5dv,0.14749382966987534
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.045360921162651446
Xch-7d,0.22584792488476152
Xp-0dv,16.2894199561405
Xp-1dv,8.873508486450199
Xp-2dv,6.567411266539696
Xp-3dv,4.894202769053244
Xp-4dv,3.699490278025379
Xp-5dv,2.7903776077425255
Xp-6dv,1.9136545366445854
Xp-7dv,1.2201250278376803
Xpc-4d,4.942703498480932
Xpc-5d,8.264568939235705
Xpc-6d,14.117119941635394
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,1
n7Ring,2
n8Ring,0
n9Ring,0
nARing,1
nBonds,53
nFRing,1
nHBAcc,6
nHBDon,2
nHRing,0
nSpiro,0
naRing,2
piPC10,8.012642112292307
AATS0dv,8.588235294117647
AATS0pe,6.433641176470587
AATS0se,7.90563607843137
AATS1dv,7.7924528301886795
AATS1pe,6.605009433962264
AATS1se,7.8931414339622625
AATS2dv,6.483516483516484
AATS2pe,6.477753846153846
AATS2se,7.888914769230769
AATS3dv,6.7844827586206895
AATS3pe,6.565037068965515
AATS3se,7.930015758620689
AATS4dv,5.020979020979021
AATS4pe,6.391304895104895
AATS4se,7.787892923076921
AATS5dv,3.9523809523809526
AATS5pe,6.389586904761906
AATS5se,7.854478357142857
AATS6dv,3.7714285714285714
AATS6pe,6.364809714285714
AATS6se,7.861514171428571
AATS7dv,3.1977401129943503
AATS7pe,6.0799576271186435
AATS7se,7.659250870056496
AATS8dv,2.6857142857142855
AATS8pe,6.1054707142857145
AATS8se,7.722405742857143
AATSC0Z,7.764705882352941
AATSC0c,0.033079591041062194
AATSC0d,0.6651287966166858
AATSC0i,1.3807179629768367
AATSC0m,36.71104591003459
AATSC0p,0.2288462965500792
AATSC0s,1.8915160835576064
AATSC0v,48.9924085809785
AATSC1Z,0.24528301886792453
AATSC1c,-0.013857110335974565
AATSC1d,0.37741652339811244
AATSC1i,-0.0988952499912079
AATSC1m,1.1822300477900363
AATSC1p,-0.009932313692583798
AATSC1s,-0.13339753215381597
AATSC1v,0.45894615210486384
AATSC2Z,1.043956043956044
AATSC2c,-0.005487542367620435
AATSC2d,0.12672640700322357
AATSC2i,0.26952449434758896
AATSC2m,5.167471762234304
AATSC2p,0.0550086387958525
AATSC2s,0.0454168092576397
AATSC2v,12.031688441253769
AATSC3Z,0.23275862068965517
AATSC3c,0.005017967114951471
AATSC3d,0.03754192684511263
AATSC3i,0.22242556148653436
AATSC3m,1.1388933095394334
AATSC3p,0.03026083767629251
AATSC3s,0.055609414151056004
AATSC3v,4.404240023331322
AATSC4Z,-0.43356643356643354
AATSC4c,0.0009851305412084711
AATSC4d,-0.1657458266454806
AATSC4i,-0.23629104821523017
AATSC4m,-2.151268056476395
AATSC4p,-0.03824352712102968
AATSC4s,-0.09929142368588736
AATSC4v,-6.415770901111637
AATSC5Z,-1.2797619047619047
AATSC5c,-0.0016731361296393038
AATSC5d,-0.1361838853188334
AATSC5i,-0.12482441295970642
