DLiP-ID,C003F1
DLiP-Mol-ID,33931
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H14ClNS.ClH/c15-13-4-2-1-3-11(13)9-16-7-5-14-12(10-16)6-8-17-14;/h1-4,6,8H,5,7,9-10H2;1H"
Standard Inchi Key(RDKit),MTKNGOHFNXIVOS-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cl.Clc1ccccc1CN1CCc2sccc2C1
SMILES(SDF),
MW(SDF),
MW(RDKit),300.254
MW Monoisotopic(RDKit),299.03022584
MolLogP(RDKit),4.3816
XLogP(SDF),
XLogP(CDK),3.676
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),1
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),3.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.795223510031372
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,15922.361598845368
qed,0.7952235100313724
Chi0,11.664925939000156
Chi1,8.326499840494924
TPSA,3.24
Chi0n,9.934203389320858
Chi0v,12.323125497194766
Chi1n,5.837510849080169
Chi1v,7.095128133344292
Chi2n,4.421079811691885
Chi2v,5.828947005630659
Chi3n,3.2385157141927174
Chi3v,4.630239604504097
Chi4n,2.309388739394961
Chi4v,3.394561822777054
MolMR,80.83700000000003
MolWt,300.254
fr_SH,0
Kappa1,13.881631380079797
Kappa2,6.0692078574342085
Kappa3,2.8873152337912114
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,524.0174727266439
MolLogP,4.381600000000003
NOCount,1
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.2033326971503423e-06
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,19.51033443475116
SMR_VSA6,6.544756405912575
SMR_VSA7,56.73858160361058
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,122.79899104966415
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,4.899909730850478
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,23.74381903911471
PEOE_VSA6,29.800041095617345
PEOE_VSA7,35.06052151370914
PEOE_VSA8,29.53404972518035
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,35.34475892934723
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
