DLiP-ID,C003EX
DLiP-Mol-ID,31735
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H20FNO3.ClH/c20-15-3-1-13(2-4-15)17-7-8-21-10-14(17)11-22-16-5-6-18-19(9-16)24-12-23-18;/h1-6,9,14,17,21H,7-8,10-12H2;1H/t14-,17-;/m0./s1"
Standard Inchi Key(RDKit),GELRVIPPMNMYGS-RVXRQPKJSA-N
Canonical SMILES(RDKit),Cl.Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),365.832
MW Monoisotopic(RDKit),365.119399432
MolLogP(RDKit),3.7483
XLogP(SDF),
XLogP(CDK),3.831
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),39.72
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.895393309192709
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,664545.9181703044
qed,0.8953933091927087
Chi0,16.355160383312146
Chi1,11.79282633568371
TPSA,39.72
Chi0n,13.742643963504053
Chi0v,14.559140544431779
Chi1n,8.280641273249634
Chi1v,8.280641273249634
Chi2n,6.236995097747859
Chi2v,6.236995097747859
Chi3n,4.713948190352601
Chi3v,4.713948190352601
Chi4n,3.4167809845682955
Chi4v,3.4167809845682955
MolMR,95.42570000000003
MolWt,365.8320000000001
fr_SH,0
Kappa1,17.830574561933187
Kappa2,7.933237471220653
Kappa3,3.9919051288346483
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,710.3154348404983
MolLogP,3.748300000000002
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8224981079770186e-06
SMR_VSA1,18.60100390907497
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,5.917906046161393
SMR_VSA5,12.338727669087403
SMR_VSA6,26.489337082437896
SMR_VSA7,53.845241811974155
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,152.24055634688312
NHOHCount,1
PEOE_VSA1,19.527377465406477
PEOE_VSA2,0.0
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,12.407033161179976
PEOE_VSA6,12.13273413692322
PEOE_VSA7,48.712403840543416
PEOE_VSA8,18.529029520535577
PEOE_VSA9,6.606881964512918
RingCount,4
SMR_VSA10,12.407033161179976
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,365.11939943199997
NumHDonors,1
PEOE_VSA10,11.5667326743298
PEOE_VSA11,11.49902366656781
PEOE_VSA12,6.792942306099827
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,19.527377465406477
SlogP_VSA2,26.489337082437896
SlogP_VSA3,0.0
SlogP_VSA4,11.735126887207288
SlogP_VSA5,17.9021791607844
SlogP_VSA6,42.46456947923127
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,25.017196308325698
EState_VSA3,18.442694056835705
EState_VSA4,36.75886993460288
EState_VSA5,17.696185628620217
EState_VSA6,0.0
EState_VSA7,30.33183534230805
EState_VSA8,5.316788604006331
EState_VSA9,14.210588861400147
SlogP_VSA10,4.39041504767482
SlogP_VSA11,17.248535499851716
SlogP_VSA12,12.407033161179976
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
