DLiP-ID,J100HJ
DLiP-Mol-ID,37333
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H17N9S2.ClH/c1-5-8-24-13-16-12-15-10(2)9-11(23(12)18-13)25-14-17-19-20-22(14)7-6-21(3)4;/h1,9H,6-8H2,2-4H3;1H"
Standard Inchi Key(RDKit),QZVCASZUNSTKGV-UHFFFAOYSA-N
Canonical SMILES(RDKit),C#CCSc1nc2nc(C)cc(Sc3nnnn3CC[NH+](C)C)n2n1.[Cl-]
SMILES(SDF),
MW(SDF),
MW(RDKit),411.948
MW Monoisotopic(RDKit),411.081511256
MolLogP(RDKit),-3.55578
XLogP(SDF),
XLogP(CDK),1.754
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),10
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.242597015727011
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,604658.3477786747
qed,0.24259701572701126
Chi0,17.811190308942127
Chi1,12.062881945713373
TPSA,91.11999999999999
Chi0n,14.548190699875514
Chi0v,16.937112807749422
Chi1n,7.602868701028244
Chi1v,9.404963841609455
Chi2n,5.578510789624675
Chi2v,7.5085583936170215
Chi3n,3.1912068917300225
Chi3v,4.908245817669081
Chi4n,2.008563106937278
Chi4v,3.442579197508738
MolMR,94.69370000000004
MolWt,411.9480000000001
fr_SH,0
Kappa1,20.442010652446516
Kappa2,9.17872083025522
Kappa3,4.851206270738952
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,8
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,914.9135320116222
MolLogP,-3.555779999999996
NOCount,9
fr_Ar_N,8
fr_COO2,0
fr_urea,0
BalabanJ,2.4299975523026017e-06
SMR_VSA1,17.306942892030456
SMR_VSA2,0.0
SMR_VSA3,39.78929167856704
SMR_VSA4,0.0
SMR_VSA5,28.807326547913856
SMR_VSA6,26.392953978013743
SMR_VSA7,11.760295063310071
SMR_VSA8,0.0
SMR_VSA9,12.343784214475903
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,1
LabuteASA,165.2954010681964
NHOHCount,1
PEOE_VSA1,17.306942892030456
PEOE_VSA2,0.0
PEOE_VSA3,9.665781456092393
PEOE_VSA4,9.499376414562832
PEOE_VSA5,16.620713512222334
PEOE_VSA6,17.682319268246758
PEOE_VSA7,35.17875940885308
PEOE_VSA8,5.693927994848461
PEOE_VSA9,32.937710383926316
RingCount,3
SMR_VSA10,29.301423622701428
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,411.08151125600006
NumHDonors,1
PEOE_VSA10,5.025959978669241
PEOE_VSA11,0.0
PEOE_VSA12,10.312872963641414
PEOE_VSA13,5.777653723919194
PEOE_VSA14,0.0
SlogP_VSA1,17.306942892030456
SlogP_VSA2,66.18224565658076
SlogP_VSA3,6.544756405912575
