DLiP-ID,C003ET
DLiP-Mol-ID,33923
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H31NO2S.C4H4O4/c1-6-7-8-9-22-18-11-16(20)14(10-17(18)21-5)15(12-19-4)13(2)3;5-3(6)1-2-4(7)8/h10-11,13,15,19-20H,6-9,12H2,1-5H3;1-2H,(H,5,6)(H,7,8)/b;2-1-"
Standard Inchi Key(RDKit),PJCSHAYVYYUIGG-BTJKTKAUSA-N
Canonical SMILES(RDKit),CCCCCSc1cc(O)c(C(CNC)C(C)C)cc1OC.O=C(O)/C=C\C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),441.59
MW Monoisotopic(RDKit),441.21850884
MolLogP(RDKit),4.3539
XLogP(SDF),
XLogP(CDK),4.751
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),116.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),12
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.214839677868665
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,1663535.30728009
qed,0.2148396778686647
Chi0,23.104083527755577
Chi1,14.170340175395127
TPSA,116.08999999999999
Chi0n,18.47426946942582
Chi0v,19.290766050353543
Chi1n,9.995242008689633
Chi1v,10.98084056834312
Chi2n,7.035447739359026
Chi2v,8.172197570045148
Chi3n,4.315128991106393
Chi3v,5.437968098626062
Chi4n,2.7356973345617734
Chi4v,3.7835535728709453
MolMR,120.82510000000012
MolWt,441.5900000000002
fr_SH,0
Kappa1,27.81
Kappa2,15.623649287242124
Kappa3,11.11291975474751
fr_ArN,0
fr_COO,2
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,674.4504853205478
MolLogP,4.353900000000003
NOCount,7
fr_Ar_N,0
fr_COO2,2
fr_urea,0
BalabanJ,8.897726406188845e-07
SMR_VSA1,29.64551950646581
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,5.917906046161393
SMR_VSA5,50.84706598952907
SMR_VSA6,26.455079536614086
SMR_VSA7,29.848225842287977
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,183.07896796634338
NHOHCount,4
PEOE_VSA1,25.373233742328495
PEOE_VSA2,0.0
PEOE_VSA3,9.589074368143644
PEOE_VSA4,0.0
PEOE_VSA5,11.761884949391115
PEOE_VSA6,33.61285484492389
PEOE_VSA7,37.2719873954346
PEOE_VSA8,30.178154157438726
PEOE_VSA9,12.005281016795308
RingCount,1
SMR_VSA10,23.700495525294812
fr_Al_COO,2
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,441.2185088399999
NumHDonors,4
PEOE_VSA10,11.49902366656781
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,11.938610575903699
SlogP_VSA1,10.05365155780638
SlogP_VSA2,53.7132722970399
SlogP_VSA3,9.589074368143644
SlogP_VSA4,5.917906046161393
SlogP_VSA5,51.51503400570829
SlogP_VSA6,29.180257826108754
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,11.938610575903699
EState_VSA2,5.917906046161393
EState_VSA3,23.81945809311306
EState_VSA4,28.50605681315804
EState_VSA5,19.26246486877803
EState_VSA6,18.871682490668647
EState_VSA7,19.18040611960041
EState_VSA8,26.088000203078202
EState_VSA9,14.94991774348146
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
SlogP_VSA12,11.761884949391115
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,76.23271284748466
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.69560176298435
EState_VSA11,0.0
FractionCSP3,0.5454545454545454
VSA_EState10,1.7672871525153269
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.19
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,30
HeavyAtomMolWt,406.3100000000002
MaxEStateIndex,10.463284911186697
MinEStateIndex,-1.2570370370370372
NumHeteroatoms,8
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1666666666666667
FpDensityMorgan2,1.7666666666666666
FpDensityMorgan3,2.2
MaxPartialCharge,0.32806586375914176
MinPartialCharge,-0.5076165555239673
NumAromaticRings,1
fr_unbrch_alkane,2
MaxAbsEStateIndex,10.463284911186697
MinAbsEStateIndex,0.2759642547841499
NumAliphaticRings,0
NumRotatableBonds,12
NumSaturatedRings,0
fr_Ndealkylation1,1
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5076165555239673
MinAbsPartialCharge,0.32806586375914176
NumRadicalElectrons,0
NumValenceElectrons,170
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,1
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,441.2185088400009
MZ,0.6102564102564102
Mi,1.1343795526693852
Mm,0.5656135721742249
Mp,0.6346361584523261
Mv,0.580243069407694
SZ,39.666666666666664
Si,73.73467092351004
Sm,36.76488219132462
Sp,41.251350299401196
Sv,37.71579951150011
nB,0
nC,22
nF,0
nH,35
nI,0
nN,1
nO,6
nP,0
nS,1
nX,0
ABC,21.110064794518607
AMW,6.787977059076937
IC0,1.5124881790681268
IC1,3.4161906966120315
IC2,4.78692531266233
IC3,5.195068774400495
IC4,5.195068774400495
IC5,5.195068774400495
Mpe,0.9614479638009051
Mse,1.0040170317664856
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,120.82510000000012
SdO,19.107222222222223
SdS,0
Spe,62.494117647058836
SsF,0
SsI,0
Sse,65.26110706482156
StN,0
fMF,0.09230769230769231
nBr,0
nCl,0
BIC0,0.24676429117185716
BIC1,0.5573556788237153
BIC2,0.7809927032947304
BIC3,0.8475818068831623
BIC4,0.8475818068831623
BIC5,0.8475818068831623
CIC0,4.5098796339603275
CIC1,2.606177116416423
CIC2,1.2354425003661245
CIC3,0.8272990386279595
CIC4,0.8272990386279595
CIC5,0.8272990386279595
GGI1,6.5
GGI2,3.1111111111111125
GGI3,1.875
GGI4,1.884444444444445
GGI5,0.861111111111111
GGI6,0.5273469387755102
GGI7,0.2586805555555556
GGI8,0.15621063240110858
GGI9,0.07562500000000003
JGI1,0.22413793103448276
JGI2,0.08641975308641979
JGI3,0.05067567567567567
JGI4,0.05093093093093093
JGI5,0.024603174603174606
JGI6,0.021972789115646263
JGI7,0.013614766081871343
JGI8,0.011157902314364898
JGI9,0.0075625000000000015
MIC0,16.18378888694205
MIC1,33.08809392261676
MIC2,37.73060322971149
