DLiP-ID,C002VG
DLiP-Mol-ID,33226
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H13ClN4OS.BrH/c17-11-6-2-4-8-13(11)21-14(9-23-16(18)19)20-12-7-3-1-5-10(12)15(21)22;/h1-8H,9H2,(H3,18,19);1H"
Standard Inchi Key(RDKit),VCSUXWXJPUAZFS-UHFFFAOYSA-N
Canonical SMILES(RDKit),Br.N=C(N)SCc1nc2ccccc2c(=O)n1-c1ccccc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),425.739
MW Monoisotopic(RDKit),423.976021848
MolLogP(RDKit),3.74367
XLogP(SDF),
XLogP(CDK),4.578
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),84.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.494300058730714
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,186266.85751630517
qed,0.49430005873071353
Chi0,16.396976746569035
Chi1,11.07538740046941
TPSA,84.76000000000002
Chi0n,12.400395739293915
Chi0v,15.685893319335877
Chi1n,6.800868713880523
Chi1v,8.16443174654324
Chi2n,4.790080443571866
Chi2v,6.214457245129545
Chi3n,3.2952970763188345
Chi3v,4.328450295588066
Chi4n,2.299326019176073
Chi4v,2.9978255493951136
MolMR,105.88109999999999
MolWt,425.73900000000015
fr_SH,0
Kappa1,18.507823175198833
Kappa2,7.827835876954752
Kappa3,3.632870716579078
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,960.205429939045
MolLogP,3.7436700000000016
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.08333185597332e-06
SMR_VSA1,0.0
SMR_VSA2,5.409283605791522
SMR_VSA3,9.551078168738563
SMR_VSA4,5.733667477162185
SMR_VSA5,5.752853606746789
SMR_VSA6,0.0
SMR_VSA7,69.73177843855795
SMR_VSA8,0.0
SMR_VSA9,5.687386274683562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,157.67515569559345
NHOHCount,3
