DLiP-ID,C000RF
DLiP-Mol-ID,31259
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H30N2.2BrH/c1-13(2,3)11-9-7-8-10-12-14(4,5)6;;/h7-12H2,1-6H3;2*1H/q+2;;/p-2"
Standard Inchi Key(RDKit),FAPSXSAPXXJTOU-UHFFFAOYSA-L
Canonical SMILES(RDKit),C[N+](C)(C)CCCCCC[N+](C)(C)C.[Br-].[Br-]
SMILES(SDF),
MW(SDF),
MW(RDKit),362.194
MW Monoisotopic(RDKit),360.07757316
MolLogP(RDKit),-4.03279999999999
XLogP(SDF),
XLogP(CDK),2.666
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),0
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),0.0
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.319841189889848
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,531.2280679457048
qed,0.31984118988984844
Chi0,11.242640687119287
Chi1,6.207106781186548
TPSA,0.0
Chi0n,11.892996824137656
Chi0v,15.064989902367065
Chi1n,5.815737105033424
Chi1v,5.815737105033424
Chi2n,6.4420753269738285
Chi2v,6.4420753269738285
Chi3n,2.407868552516711
Chi3v,2.407868552516711
Chi4n,1.525843486393766
Chi4v,1.525843486393766
MolMR,64.26680000000006
MolWt,362.19399999999996
fr_SH,0
Kappa1,22.095025454907855
Kappa2,9.863984487216316
Kappa3,20.311826684351935
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,130.0782000346155
MolLogP,-4.032799999999993
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,-8.449997741250619e-07
SMR_VSA1,42.92896341964182
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,25.683286491704038
SMR_VSA6,55.37554470788828
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,2
LabuteASA,123.71862882468463
NHOHCount,0
PEOE_VSA1,42.92896341964182
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,25.683286491704038
PEOE_VSA8,0.0
PEOE_VSA9,55.37554470788828
RingCount,0
SMR_VSA10,0.0
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,360.07757316
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,33.962901704252566
SlogP_VSA2,64.34160642327753
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,25.683286491704038
SlogP_VSA6,0.0
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,33.962901704252566
EState_VSA3,0.0
EState_VSA4,8.966061715389248
EState_VSA5,38.77279930352919
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,42.286031896063136
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,2.212962962962963
VSA_EState9,21.787037037037038
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,1.0
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,0.8799999999999999
NumHAcceptors,0
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,16
HeavyAtomMolWt,331.95399999999995
MaxEStateIndex,2.2698838655832705
MinEStateIndex,0.0
NumHeteroatoms,4
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.5
FpDensityMorgan2,0.75
FpDensityMorgan3,0.9375
MaxPartialCharge,0.07799285934469156
MinPartialCharge,-1.0
NumAromaticRings,0
fr_unbrch_alkane,3
MaxAbsEStateIndex,2.2698838655832705
MinAbsEStateIndex,0.0
NumAliphaticRings,0
NumRotatableBonds,7
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,1.0
MinAbsPartialCharge,0.07799285934469156
NumRadicalElectrons,0
NumValenceElectrons,102
fr_para_hydroxylation,0
NumAromaticCarbocycles,0
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,360.07757316000084
MZ,0.673913043478261
Mi,1.1501985042486704
Mm,0.6555476320619141
Mp,0.6293125488154129
Mv,0.5265400578766183
SZ,31.000000000000007
Si,52.90913119543884
Sm,30.155191074848048
Sp,28.948377245508993
Sv,24.220842662324443
nB,0
nC,12
nF,0
nH,30
nI,0
nN,2
nO,0
nP,0
nS,0
nX,2
ABC,10.145899891012467
AMW,7.827773329565235
IC0,1.3012517848198515
IC1,1.681899067522611
IC2,2.64163967278987
IC3,2.8155527162681313
IC4,2.8155527162681313
IC5,2.8155527162681313
Mpe,0.9258312020460356
Mse,0.978007536654106
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,64.26680000000006
SdO,0
SdS,0
Spe,42.58823529411764
SsF,0
SsI,0
Sse,44.988346686088875
StN,0
fMF,0.0
nBr,2
nCl,0
BIC0,0.23980617305712174
BIC1,0.309955216627639
BIC2,0.4868246928977752
BIC3,0.5188749247497241
BIC4,0.5188749247497241
BIC5,0.5188749247497241
CIC0,4.222310171237162
CIC1,3.841662888534402
CIC2,2.881922283267143
CIC3,2.7080092397888818
CIC4,2.7080092397888818
CIC5,2.7080092397888818
GGI1,5.5
GGI2,1.1111111111111114
GGI3,0.625
GGI4,0.40000000000000013
GGI5,0.27777777777777773
GGI6,0.20408163265306123
GGI7,0.09375
GGI8,0.2222222222222222
GGI9,0.0
JGI1,0.42307692307692313
JGI2,0.06172839506172842
JGI3,0.05681818181818182
JGI4,0.040000000000000015
JGI5,0.030864197530864192
JGI6,0.025510204081632654
JGI7,0.01339285714285714
JGI8,0.037037037037037035
JGI9,0.0
MIC0,24.94971331189066
