DLiP-ID,C101PG
DLiP-Mol-ID,40298
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24ClNO3.ClH/c23-21-8-2-1-5-18(21)9-10-22(25)19-6-3-7-20(17-19)27-14-4-11-24-12-15-26-16-13-24;/h1-3,5-10,17H,4,11-16H2;1H/b10-9+;"
Standard Inchi Key(RDKit),UYHOWFDYRJPVIF-RRABGKBLSA-N
Canonical SMILES(RDKit),Cl.O=C(/C=C/c1ccccc1Cl)c1cccc(OCCCN2CCOCC2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),422.352
MW Monoisotopic(RDKit),421.12114902
MolLogP(RDKit),4.759
XLogP(SDF),
XLogP(CDK),4.708
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),38.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.349467339796165
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,1727906.5175625228
qed,0.3494673397961652
Chi0,18.89913045768216
Chi1,13.220346690612276
TPSA,38.769999999999996
Chi0n,15.681421390566733
Chi0v,17.253846917512913
Chi1n,9.221340305561933
Chi1v,9.59930477857116
Chi2n,6.402957092169295
Chi2v,6.810157218909902
Chi3n,4.4291555444856145
Chi3v,4.773361592391349
Chi4n,2.9140491384693763
Chi4v,3.1127765928844497
MolMR,115.87750000000005
MolWt,422.3520000000004
fr_SH,0
Kappa1,22.439232793735094
Kappa2,11.871937479892111
Kappa3,6.951163850804744
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,788.8562623262457
MolLogP,4.759000000000005
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.8033292198507808e-06
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,39.45491511127648
SMR_VSA7,70.75649295166208
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,177.0472899925056
NHOHCount,0
PEOE_VSA1,9.473725907600098
PEOE_VSA2,9.694446914922299
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,12.407033161179976
PEOE_VSA6,41.932775232540564
PEOE_VSA7,42.335414533675596
PEOE_VSA8,30.22035402317605
PEOE_VSA9,19.820645893538753
RingCount,3
