DLiP-ID,C003JR
DLiP-Mol-ID,34101
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H24N4S.C4H4O4/c20-15(18-13-4-2-1-3-5-13)19-8-6-12(7-9-19)14-10-16-11-17-14;5-3(6)1-2-4(7)8/h10-13H,1-9H2,(H,16,17)(H,18,20);1-2H,(H,5,6)(H,7,8)/b;2-1-"
Standard Inchi Key(RDKit),WUYMIKDBRCCYGE-BTJKTKAUSA-N
Canonical SMILES(RDKit),O=C(O)/C=C\C(=O)O.S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),408.524
MW Monoisotopic(RDKit),408.183126376
MolLogP(RDKit),2.5081
XLogP(SDF),
XLogP(CDK),2.414
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),118.55
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.443266613191343
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,2118356.2596529676
qed,0.44326661319134303
Chi0,20.355160383312136
Chi1,13.452397498181153
TPSA,118.54999999999998
Chi0n,15.841661899208109
Chi0v,16.658158480135835
Chi1n,9.630423443231393
Chi1v,10.038671733695256
