DLiP-ID,C003GA
DLiP-Mol-ID,33976
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H16N3S.ClH/c1-9-6-13-15(8-11(9)16)19-14-7-10(18(2)3)4-5-12(14)17-13;/h4-8H,16H2,1-3H3;1H/q+1;/p-1"
Standard Inchi Key(RDKit),HNONEKILPDHFOL-UHFFFAOYSA-M
Canonical SMILES(RDKit),Cc1cc2nc3ccc(N(C)C)cc3[s+]c2cc1N.[Cl-]
SMILES(SDF),
MW(SDF),
MW(RDKit),305.834
MW Monoisotopic(RDKit),305.075346192
MolLogP(RDKit),0.691220000000001
XLogP(SDF),
XLogP(CDK),3.528
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),42.15
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.408591868454832
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,23955.895880802647
qed,0.40859186845483164
Chi0,13.568549621822843
Chi1,9.041713895658196
TPSA,42.150000000000006
Chi0n,11.644741569610762
Chi0v,13.217167096556944
Chi1n,6.154905419400366
Chi1v,6.9714020003280925
Chi2n,4.936841119598165
Chi2v,6.020618076084992
Chi3n,3.268221599284149
Chi3v,4.362026711537682
Chi4n,2.061000032027889
Chi4v,3.0908799296073406
MolMR,85.00940000000004
MolWt,305.83399999999995
fr_SH,0
Kappa1,14.752753573837042
Kappa2,5.384170224251167
Kappa3,2.4879694495526903
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,786.7646959811063
MolLogP,0.6912200000000003
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.4699992770170365e-06
SMR_VSA1,12.407033161179976
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,24.728921173367045
SMR_VSA7,35.89528683400505
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,128.01287495721292
NHOHCount,2
PEOE_VSA1,23.040610369192642
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,30.686289896772447
PEOE_VSA8,37.60285065164472
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,43.144799695472585
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,305.075346192
NumHDonors,1
PEOE_VSA10,11.033401435232523
PEOE_VSA11,0.0
PEOE_VSA12,11.336785877934737
PEOE_VSA13,9.399839832938202
PEOE_VSA14,0.0
SlogP_VSA1,23.040610369192642
SlogP_VSA2,19.07932248630159
SlogP_VSA3,0.0
SlogP_VSA4,6.923737199690624
SlogP_VSA5,5.563451491696996
SlogP_VSA6,30.33183534230805
SlogP_VSA7,0.0
SlogP_VSA8,20.433241268170725
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,12.407033161179976
EState_VSA3,0.0
EState_VSA4,26.984159118082182
EState_VSA5,10.387306191152664
EState_VSA6,11.336785877934737
EState_VSA7,27.085448233506614
EState_VSA8,29.16537800469692
EState_VSA9,10.717645998109393
SlogP_VSA10,11.374772549367124
SlogP_VSA11,0.0
SlogP_VSA12,11.336785877934737
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,36.76347222222223
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,0.2
VSA_EState10,1.7365277777777774
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.6499999999999997
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,20
HeavyAtomMolWt,289.706
MaxEStateIndex,5.978767164273116
MinEStateIndex,0.0
NumHeteroatoms,5
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.05
FpDensityMorgan2,1.75
FpDensityMorgan3,2.45
MaxPartialCharge,0.25864803259526015
MinPartialCharge,-1.0
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,5.978767164273116
MinAbsEStateIndex,0.0
NumAliphaticRings,0
NumRotatableBonds,1
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,1.0
MinAbsPartialCharge,0.25864803259526015
NumRadicalElectrons,0
NumValenceElectrons,104
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,305.07534619200044
MZ,0.7407407407407409
Mi,1.118505644708499
Mm,0.7072775881368005
Mp,0.7335111111111112
Mv,0.6635117714906031
SZ,26.66666666666667
Si,40.26620320950596
Sm,25.461993172924817
Sp,26.406400000000005
Sv,23.88642377366171
nB,0
nC,15
nF,0
nH,16
nI,0
nN,3
nO,0
nP,0
nS,1
nX,1
ABC,15.12504114580269
AMW,8.474315172000011
IC0,1.6321959337675553
IC1,3.565797058057467
IC2,4.173416585305445
IC3,4.495906598484245
IC4,4.495906598484245
IC5,4.495906598484245
Mpe,0.9619825708061001
Mse,0.9981791697013842
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,85.00940000000004
SdO,0
SdS,0
Spe,34.6313725490196
SsF,0
SsI,0
Sse,35.93445010924983
StN,0
fMF,0.3888888888888889
nBr,0
nCl,1
BIC0,0.29896810653248185
BIC1,0.6531443760344248
BIC2,0.764441589680933
BIC3,0.8235118438220217
BIC4,0.8235118438220217
BIC5,0.8235118438220217
CIC0,3.537729067674757
CIC1,1.604127943384845
CIC2,0.9965084161368676
CIC3,0.6740184029580671
CIC4,0.6740184029580671
CIC5,0.6740184029580671
GGI1,5.0
GGI2,2.666666666666668
GGI3,1.1875
GGI4,1.6222222222222227
GGI5,0.5416666666666667
GGI6,0.48408163265306126
GGI7,0.22743055555555555
GGI8,0.15998992189468378
GGI9,0.07125000000000001
JGI1,0.2380952380952381
JGI2,0.08602150537634412
JGI3,0.037109375
JGI4,0.06759259259259259
JGI5,0.02708333333333333
JGI6,0.03025510204081633
JGI7,0.018952546296296297
JGI8,0.019998740236835472
JGI9,0.014250000000000002
MIC0,20.726116374735994
MIC1,37.53264927614807
MIC2,42.30476515239815
MIC3,42.62983508568238
MIC4,42.62983508568238
MIC5,42.62983508568238
MPC2,31
MPC3,41
MPC4,53
MPC5,75
MPC6,83
MPC7,95
MPC8,110
MPC9,121
Mare,0.9686666666666669
NaaN,1
NaaO,0
NaaS,1
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.46157516592120956
RPCG,0.11938550856035161
SIC0,0.31570978946739137
SIC1,0.6897193009691005
SIC2,0.807248960892303
SIC3,0.8696270443439647
SIC4,0.8696270443439647
SIC5,0.8696270443439647
SaaN,4.7164181783824635
SaaO,0
SaaS,1.7365277777777774
Sare,34.87200000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,58.75905361563199
TIC1,128.36869409006883
TIC2,150.242997070996
TIC3,161.85263754543283
TIC4,161.85263754543283
TIC5,161.85263754543283
Vabc,255.03848107330535
WPol,32
apol,44.09868799999998
bpol,20.791311999999994
nRot,1
ABCGG,11.817593064559903
ATS0Z,1248.0
ATS0d,120.0
ATS0i,5769.807197184984
ATS0m,5053.353086000001
ATS0p,65.73970647758398
ATS0v,8680.784151979617
ATS1Z,1010.0
ATS1d,145.0
ATS1i,5402.5881565492
ATS1m,3852.744698999999
ATS1p,74.02026494
ATS1v,10217.502490660161
ATS2Z,1546.0
ATS2d,237.0
ATS2i,9516.848176335789
ATS2m,5903.694850999999
ATS2p,112.60722749848998
ATS2v,15179.538925840607
ATS3Z,1788.0
ATS3d,253.0
ATS3i,10880.351438953308
ATS3m,6636.030138999999
ATS3p,134.02153603484902
ATS3v,17429.025815243505
ATS4Z,1497.0
ATS4d,233.0
ATS4i,13709.978104021196
ATS4m,5326.322072
ATS4p,125.80355515273502
ATS4v,15519.769010504602
ATS5Z,1200.0
ATS5d,205.0
ATS5i,12674.029913238614
ATS5m,4263.226476999999
ATS5p,107.174779301225
ATS5v,12801.795415818435
ATS6Z,904.0
ATS6d,159.0
ATS6i,8608.010546437365
ATS6m,3033.5334639999996
ATS6p,84.722575648792
ATS6v,10219.0903652541
ATS7Z,653.0
ATS7d,128.0
ATS7i,7326.688750359847
ATS7m,2221.52894
ATS7p,62.47233624454701
ATS7v,8100.099547542566
ATS8Z,495.0
ATS8d,96.0
ATS8i,6811.625456926395
ATS8m,1615.2186799999997
ATS8p,53.02881839909399
ATS8v,6461.242902623274
C1SP1,0
C1SP2,0
C1SP3,1
C2SP1,0
C2SP2,11
C2SP3,0
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.2
GGI10,0.0
JGI10,0.0
JGT10,0.5393584329714562
Kier1,16.3718820861678
Kier2,6.40582726326743
Kier3,3.276621058893516
MPC10,102
MWC01,21.0
MWC02,4.653960350157523
MWC03,5.517452896464707
MWC04,6.411818267709897
MWC05,7.29776828253138
MWC06,8.193953023563742
MWC07,9.087607606593886
MWC08,9.985297927733694
MWC09,10.88228348976168
MWC10,11.781080622113786
NaaCH,5
NaaNH,0
NaaSe,0
NaaaC,4
NaasC,3
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,3
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,0.6912200000000003
SRW02,3.7612001156935624
SRW03,0.0
SRW04,5.117993812416755
SRW05,0.0
SRW06,6.675823221634848
SRW07,0.0
SRW08,8.327242607457793
SRW09,0.0
SRW10,10.027164297229726
SaaCH,10.414087459057697
SaaNH,0
SaaSe,0
SaaaC,4.363457105064249
SaasC,3.0926939510372056
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
