DLiP-ID,C0017U
DLiP-Mol-ID,31964
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H18N2.ClH/c13-11-5-7-12(8-6-11)14-9-3-1-2-4-10-14;/h5-8H,1-4,9-10,13H2;1H"
Standard Inchi Key(RDKit),OSRAHLUZNPXHKN-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cl.Nc1ccc(N2CCCCCC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),226.751
MW Monoisotopic(RDKit),226.123676288
MolLogP(RDKit),3.071
XLogP(SDF),
XLogP(CDK),3.268
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),29.26
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.746217036329782
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2530.3664200958137
qed,0.7462170363297824
Chi0,9.803118619434356
Chi1,6.860173345306138
TPSA,29.259999999999998
Chi0n,8.984853919031238
Chi0v,9.801350499958964
Chi1n,5.466104669424386
Chi1v,5.466104669424386
Chi2n,3.992793944720363
Chi2v,3.992793944720363
Chi3n,2.864298835810044
Chi3v,2.864298835810044
Chi4n,2.0140235133576097
Chi4v,2.0140235133576097
MolMR,68.78340000000003
MolWt,226.75099999999992
fr_SH,0
Kappa1,12.180871722182847
Kappa2,5.862111536316656
Kappa3,3.3101930645281055
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,276.17852285341644
MolLogP,3.0710000000000015
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.1249995815001608e-06
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,25.683286491704038
SMR_VSA6,23.723090019837816
SMR_VSA7,24.26546827384644
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,97.8680422721129
NHOHCount,2
PEOE_VSA1,10.633577208012664
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,12.407033161179976
PEOE_VSA6,12.841643245852019
PEOE_VSA7,37.107111519698464
PEOE_VSA8,24.464285361192275
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,23.7818057105471
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,226.12367628799998
NumHDonors,1
PEOE_VSA10,0.0
