DLiP-ID,C003EZ
DLiP-Mol-ID,31747
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H26N2O4S.ClH/c1-15(25)28-20-21(16-9-11-17(27-4)12-10-16)29-19-8-6-5-7-18(19)24(22(20)26)14-13-23(2)3;/h5-12,20-21H,13-14H2,1-4H3;1H/t20-,21+;/m1./s1"
Standard Inchi Key(RDKit),HDRXZJPWHTXQRI-BHDTVMLSSA-N
Canonical SMILES(RDKit),COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),450.988
MW Monoisotopic(RDKit),450.138006024
MolLogP(RDKit),3.7903
XLogP(SDF),
XLogP(CDK),3.351
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),59.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.623887420691154
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,3020643.091876138
qed,0.6238874206911541
Chi0,20.965890847321376
Chi1,13.901085903164901
TPSA,59.080000000000005
Chi0n,17.53163318805245
Chi0v,19.164626349907905
Chi1n,9.433770932706608
Chi1v,10.313423743961502
Chi2n,7.102520993722727
Chi2v,8.285917447117116
Chi3n,4.702468039214365
Chi3v,6.074916214764001
Chi4n,3.238277154034226
Chi4v,4.556752117176849
MolMR,121.74300000000004
MolWt,450.9880000000001
fr_SH,0
Kappa1,24.053141577257392
Kappa2,10.702419153144385
