DLiP-ID,J000HW
DLiP-Mol-ID,27300
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H22N3OS3.ClH/c1-3-23-17(27-18(19(23)24)20-21(2)9-11-26-20)13-16-22(10-12-25-16)14-15-7-5-4-6-8-15;/h4-8,10,12-13H,3,9,11,14H2,1-2H3;1H/q+1;/p-1/b20-18+;"
Standard Inchi Key(RDKit),PKMOCFPDFBAKKL-KPJFUTMLSA-M
Canonical SMILES(RDKit),CCn1c(=O)/c(=C2\SCCN2C)s/c1=C\c1scc[n+]1Cc1ccccc1.[Cl-]
SMILES(SDF),
MW(SDF),
MW(RDKit),452.07
MW Monoisotopic(RDKit),451.061353004
MolLogP(RDKit),-1.0959
XLogP(SDF),
XLogP(CDK),4.769
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),29.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.471723122676253
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Hsp70/Bcl-2 associated anthanogene (Bag1)
Common Target Pref Name,Hsp70/Bcl-2 associated anthanogene (Bag1)
RDKit Descriptors
Ipc,2655339.644302104
qed,0.4717231226762534
Chi0,18.802754140504845
Chi1,13.169035095596021
TPSA,29.12
Chi0n,15.799827699627754
Chi0v,19.005246388429388
Chi1n,8.975548472273273
Chi1v,11.657296424109385
Chi2n,6.393085186467881
Chi2v,9.433500058121906
