DLiP-ID,C001BB
DLiP-Mol-ID,32118
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H11N5.ClH/c12-10-7-6-9(11(13)14-10)16-15-8-4-2-1-3-5-8;/h1-7H,(H4,12,13,14);1H"
Standard Inchi Key(RDKit),QQBPIHBUCMDKFG-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cl.Nc1ccc(N=Nc2ccccc2)c(N)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),249.705
MW Monoisotopic(RDKit),249.078123064
MolLogP(RDKit),3.0832
XLogP(SDF),
XLogP(CDK),3.222
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),89.65
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.801643043417306
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,5509.67460044811
qed,0.8016430434173056
Chi0,11.380468888623982
Chi1,7.7540201954234895
TPSA,89.64999999999999
Chi0n,8.946041499670372
Chi0v,9.762538080598098
Chi1n,4.743144665235461
Chi1v,4.743144665235461
Chi2n,3.1760322696508916
Chi2v,3.1760322696508916
Chi3n,1.9533452359252168
Chi3v,1.9533452359252168
Chi4n,1.174147930819815
Chi4v,1.174147930819815
MolMR,70.92780000000002
MolWt,249.705
fr_SH,0
Kappa1,12.927294751009422
Kappa2,5.8114790847108
Kappa3,3.424457097809308
fr_ArN,2
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,2
fr_N_O,0
fr_azo,1
BertzCT,512.5251694131185
MolLogP,3.0832000000000015
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.44499936165029e-06
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,10.228500251258795
SMR_VSA5,0.0
SMR_VSA6,11.46733495432437
SMR_VSA7,42.46456947923127
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,104.98779779757146
NHOHCount,4
PEOE_VSA1,11.46733495432437
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,5.114250125629398
PEOE_VSA5,17.521283286809375
PEOE_VSA6,18.19910120538483
PEOE_VSA7,24.26546827384644
PEOE_VSA8,0.0
PEOE_VSA9,5.687386274683562
RingCount,2
SMR_VSA10,35.41753126621715
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,249.07812306399998
NumHDonors,2
PEOE_VSA10,11.50524905251859
PEOE_VSA11,5.817862777835028
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,11.46733495432437
SlogP_VSA2,4.9839785209472085
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,52.693069730490066
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,18.224895939015006
EState_VSA3,11.50524905251859
EState_VSA4,5.687386274683562
EState_VSA5,0.0
EState_VSA6,12.13273413692322
EState_VSA7,30.33183534230805
EState_VSA8,15.212478772206005
EState_VSA9,11.46733495432437
SlogP_VSA10,23.01049810503718
SlogP_VSA11,0.0
SlogP_VSA12,12.407033161179976
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,37.66666666666667
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,0.0
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.1399999999999997
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,17
HeavyAtomMolWt,237.60899999999998
MaxEStateIndex,5.640675862937767
MinEStateIndex,0.0
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.8823529411764706
FpDensityMorgan2,1.588235294117647
FpDensityMorgan3,2.235294117647059
MaxPartialCharge,0.15320016644289322
MinPartialCharge,-0.38362525619590965
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,5.640675862937767
MinAbsEStateIndex,0.0
NumAliphaticRings,0
NumRotatableBonds,2
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.38362525619590965
MinAbsPartialCharge,0.15320016644289322
NumRadicalElectrons,0
NumValenceElectrons,88
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,249.07812306399998
MZ,0.7471264367816095
Mi,1.141277689973961
Mm,0.7168773451921944
Mp,0.7031079083212888
Mv,0.6597117429479845
SZ,21.666666666666675
Si,33.09705300924487
Sm,20.78944301057364
Sp,20.390129341317376
Sv,19.13164054549155
nB,0
nC,11
nF,0
nH,12
nI,0
nN,5
nO,0
nP,0
nS,0
nX,1
ABC,12.199154765133787
AMW,8.588900795310344
IC0,1.6620176058827116
IC1,3.0199475844790737
IC2,3.602588858694238
IC3,4.487122805397797
IC4,4.720049960644812
IC5,4.720049960644812
Mpe,0.9845841784989858
Mse,1.0140769018258533
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,70.92780000000002
SdO,0
SdS,0
Spe,28.55294117647059
SsF,0
SsI,0
Sse,29.408230152949745
StN,0
fMF,0.4827586206896552
nBr,0
nCl,1
BIC0,0.3214780882544795
BIC1,0.5841376003784513
BIC2,0.6968358066488746
BIC3,0.8679280268371347
BIC4,0.9129822887813666
BIC5,0.9129822887813666
CIC0,3.1959633892448602
CIC1,1.8380334106484981
CIC2,1.255392136433334
CIC3,0.37085818972977513
CIC4,0.13793103448275978
CIC5,0.13793103448275978
GGI1,3.0
GGI2,1.5555555555555562
GGI3,0.625
GGI4,0.6044444444444446
GGI5,0.3472222222222222
GGI6,0.12244897959183673
GGI7,0.13368055555555555
GGI8,0.10204081632653059
GGI9,0.030000000000000006
JGI1,0.1764705882352941
JGI2,0.07070707070707075
JGI3,0.03125
JGI4,0.04317460317460318
JGI5,0.028935185185185185
JGI6,0.009419152276295134
JGI7,0.012152777777777778
JGI8,0.014577259475218656
JGI9,0.010000000000000002
MIC0,18.96615996442043
MIC1,29.969154078498434
MIC2,37.10491359551057
MIC3,41.45590406159136
MIC4,41.69069463408036
MIC5,41.69069463408036
MPC2,22
MPC3,26
MPC4,30
MPC5,35
MPC6,29
MPC7,25
MPC8,27
MPC9,27
Mare,0.994206896551724
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,2
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
