DLiP-ID,C003JN
DLiP-Mol-ID,34097
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H23N3O2.ClH/c1-4-18(5-2)11-10-16-15(20)13-6-8-14(9-7-13)17-12(3)19;/h6-9H,4-5,10-11H2,1-3H3,(H,16,20)(H,17,19);1H"
Standard Inchi Key(RDKit),IYEWBJUCJHKLHD-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),313.829
MW Monoisotopic(RDKit),313.155704688
MolLogP(RDKit),2.1384
XLogP(SDF),
XLogP(CDK),1.892
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),61.44
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.810490779054275
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,24681.241445962638
qed,0.8104907790542754
Chi0,14.957819157813608
Chi1,9.562080607913936
TPSA,61.440000000000005
Chi0n,12.809786668396242
Chi0v,13.626283249323969
Chi1n,6.946065746526664
Chi1v,6.946065746526664
Chi2n,4.5413200505996825
Chi2v,4.5413200505996825
Chi3n,3.0754729677490693
Chi3v,3.0754729677490693
Chi4n,1.8776423034512622
Chi4v,1.8776423034512622
MolMR,88.11490000000003
MolWt,313.829
fr_SH,0
Kappa1,19.409999999999997
Kappa2,10.18236130775046
Kappa3,7.107782800882194
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,444.73688131438615
MolLogP,2.1384000000000003
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,3.999996594003035e-06
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
SMR_VSA5,20.771211599071872
SMR_VSA6,31.49581422765663
SMR_VSA7,29.828919765543436
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,132.05157763912285
NHOHCount,2
PEOE_VSA1,15.533486938863138
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,12.407033161179976
PEOE_VSA6,13.847474399381248
PEOE_VSA7,37.35498108567159
PEOE_VSA8,31.264087777896332
PEOE_VSA9,0.0
RingCount,1
SMR_VSA10,29.908778894566552
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,313.155704688
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012662
SlogP_VSA2,42.893294813203795
SlogP_VSA3,4.794537184071822
SlogP_VSA4,0.0
SlogP_VSA5,31.129200274840688
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
