DLiP-ID,J100HZ
DLiP-Mol-ID,37349
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H20ClN9S2.ClH/c1-12-10-15(30-18-22-24-25-27(18)9-8-26(2)3)28-16(20-12)21-17(23-28)29-11-13-4-6-14(19)7-5-13;/h4-7,10H,8-9,11H2,1-3H3;1H"
Standard Inchi Key(RDKit),LJZUAAKUJAXXHQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(Sc2nnnn2CC[NH+](C)C)n2nc(SCc3ccc(Cl)cc3)nc2n1.[Cl-]
SMILES(SDF),
MW(SDF),
MW(RDKit),498.469
MW Monoisotopic(RDKit),497.073839032
MolLogP(RDKit),-1.33538
XLogP(SDF),
XLogP(CDK),3.818
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),10
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.236109533852419
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,8585033.273662478
qed,0.23610953385241917
Chi0,21.087211190881018
Chi1,14.474366886035765
TPSA,91.12
Chi0n,17.15820598045362
Chi0v,20.30305703434598
Chi1n,9.32454300798396
Chi1v,11.504602621574403
Chi2n,7.000852825092596
Chi2v,9.367336209556926
Chi3n,4.187797489255031
Chi3v,6.323479397200242
Chi4n,2.630861228342499
Chi4v,4.466648899646909
MolMR,116.1497
