DLiP-ID,C0025W
DLiP-Mol-ID,28723
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H14N2O3.ClH/c1-15-12(11-13-6-7-14-11)8-16-9-4-2-3-5-10(9)17-12;/h2-5H,6-8H2,1H3,(H,13,14);1H"
Standard Inchi Key(RDKit),IMPOOMVZVWKSAP-UHFFFAOYSA-N
Canonical SMILES(RDKit),COC1(C2=NCCN2)COc2ccccc2O1.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),270.716
MW Monoisotopic(RDKit),270.07712002
MolLogP(RDKit),1.224
XLogP(SDF),
XLogP(CDK),1.055
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),52.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.878106295195225
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,17560.890947026317
qed,0.8781062951952245
Chi0,11.717332181807452
Chi1,8.339265163677695
TPSA,52.08
Chi0n,10.010928177673557
Chi0v,10.827424758601284
Chi1n,5.587711620129393
Chi1v,5.587711620129393
Chi2n,3.9516098877197834
Chi2v,3.9516098877197834
Chi3n,2.9063690615444346
Chi3v,2.9063690615444346
Chi4n,2.000565293934214
Chi4v,2.000565293934214
MolMR,69.85770000000002
MolWt,270.716
fr_SH,0
Kappa1,12.983098621947683
Kappa2,5.0366067323264625
Kappa3,1.9964785530189524
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,466.3906743874678
MolLogP,1.2239999999999993
NOCount,5
fr_Ar_N,0
