DLiP-ID,C001LU
DLiP-Mol-ID,32562
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H25NO.BrH/c1-3-9-17(10-4-2)15-7-5-13-6-8-16(18)12-14(13)11-15;/h6,8,12,15,18H,3-5,7,9-11H2,1-2H3;1H/t15-;/m1./s1"
Standard Inchi Key(RDKit),ODNDMTWHRYECKX-XFULWGLBSA-N
Canonical SMILES(RDKit),Br.CCCN(CCC)[C@@H]1CCc2ccc(O)cc2C1
SMILES(SDF),
MW(SDF),
MW(RDKit),328.294
MW Monoisotopic(RDKit),327.119776552
MolLogP(RDKit),3.9494
XLogP(SDF),
XLogP(CDK),4.178
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),23.47
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.884621279913548
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,13985.46572627539
qed,0.8846212799135478
Chi0,12.957819157813608
Chi1,8.74071340286802
TPSA,23.47
Chi0n,12.061824026528118
Chi0v,13.774896079623899
Chi1n,7.29011201573077
Chi1v,7.29011201573077
Chi2n,5.385604823708234
Chi2v,5.385604823708234
Chi3n,3.930324450066675
Chi3v,3.930324450066675
Chi4n,3.0873202174597645
Chi4v,3.0873202174597645
MolMR,86.39680000000006
MolWt,328.29400000000004
fr_SH,0
Kappa1,16.514171180931744
Kappa2,7.90662234936944
Kappa3,4.216438614266736
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,388.33536492188733
MolLogP,3.9494000000000034
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8049989258673294e-06
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,51.993423343159265
SMR_VSA6,13.08951281182515
SMR_VSA7,29.32600418877882
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,127.1417626447807
NHOHCount,1
PEOE_VSA1,10.006437125691184
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,16.981450852126283
PEOE_VSA6,19.913841467842857
PEOE_VSA7,68.45325804677242
PEOE_VSA8,6.041840829147961
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,16.981450852126283
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,327.11977655199996
NumHDonors,1
PEOE_VSA10,5.749511833283905
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,29.137790766664295
SlogP_VSA3,12.841643245852019
SlogP_VSA4,0.0
SlogP_VSA5,44.23684225155327
SlogP_VSA6,18.19910120538483
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,16.981450852126283
EState_VSA3,11.791352662431866
EState_VSA4,12.841643245852019
EState_VSA5,43.478880663997174
EState_VSA6,0.0
EState_VSA7,12.13273413692322
EState_VSA8,24.813751198693335
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,5.749511833283905
SlogP_VSA12,16.981450852126283
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,34.83333333333334
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,5.106527394840706
EState_VSA11,0.0
FractionCSP3,0.625
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-0.54
NumHAcceptors,2
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,19
HeavyAtomMolWt,302.086
MaxEStateIndex,9.606224017384733
MinEStateIndex,0.0
NumHeteroatoms,3
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1578947368421053
FpDensityMorgan2,1.8421052631578947
FpDensityMorgan3,2.473684210526316
MaxPartialCharge,0.11537127898457188
MinPartialCharge,-0.5079560266642911
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,9.606224017384733
MinAbsEStateIndex,0.0
NumAliphaticRings,1
NumRotatableBonds,5
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5079560266642911
MinAbsPartialCharge,0.11537127898457188
NumRadicalElectrons,0
NumValenceElectrons,108
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,1
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,327.1197765520007
MZ,0.6370370370370371
Mi,1.1321787716332798
Mm,0.6073950730349031
Mp,0.6521439520958086
Mv,0.5734505190311419
SZ,28.666666666666668
Si,50.948044723497595
Sm,27.33277828657064
Sp,29.346477844311387
Sv,25.805273356401383
nB,0
nC,16
nF,0
nH,26
nI,0
nN,1
nO,1
nP,0
nS,0
nX,1
ABC,13.463538413245823
AMW,7.269328367822238
IC0,1.3538212591814884
IC1,2.9473346877775777
IC2,4.163532262755957
IC3,4.524969207344631
IC4,4.524969207344631
IC5,4.524969207344631
Mpe,0.9362962962962962
Mse,0.9823986404467108
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,86.39680000000006
SdO,0
SdS,0
Spe,42.133333333333326
SsF,0
SsI,0
Sse,44.20793882010199
StN,0
fMF,0.2222222222222222
nBr,1
nCl,0
BIC0,0.24240471784845052
BIC1,0.527726853563834
BIC2,0.7454897436139172
BIC3,0.8102058351797968
BIC4,0.8102058351797968
BIC5,0.8102058351797968
CIC0,4.138031837148186
CIC1,2.544518408552097
CIC2,1.3283208335737182
CIC3,0.966883888985044
CIC4,0.966883888985044
CIC5,0.966883888985044
GGI1,3.5
GGI2,2.000000000000001
GGI3,0.875
GGI4,0.986666666666667
GGI5,0.513888888888889
GGI6,0.3248979591836735
GGI7,0.2048611111111111
GGI8,0.1148904006046863
GGI9,0.03125
