DLiP-ID,J100HM
DLiP-Mol-ID,37336
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H27N9S2.ClH/c1-13-11-15(29-18-21-23-24-26(18)10-9-25(2)3)27-16(19-13)20-17(22-27)28-12-14-7-5-4-6-8-14;/h11,14H,4-10,12H2,1-3H3;1H"
Standard Inchi Key(RDKit),IYXKGMYBHQNXNU-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(Sc2nnnn2CC[NH+](C)C)n2nc(SCC3CCCCC3)nc2n1.[Cl-]
SMILES(SDF),
MW(SDF),
MW(RDKit),470.072
MW Monoisotopic(RDKit),469.159761576
MolLogP(RDKit),-1.60868
XLogP(SDF),
XLogP(CDK),4.131
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),10
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.311134751887125
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,6044019.156545056
qed,0.3111347518871248
Chi0,20.216967702877938
Chi1,14.080520035918413
