DLiP-ID,C0016D
DLiP-Mol-ID,31904
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H28N2O4.ClH/c1-25-19-5-3-17(4-6-19)23-13-11-22(12-14-23)15-18(24)16-27-21-9-7-20(26-2)8-10-21;/h3-10,18,24H,11-16H2,1-2H3;1H"
Standard Inchi Key(RDKit),COZSHMRYPIAZPY-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(OCC(O)CN2CCN(c3ccc(OC)cc3)CC2)cc1.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),408.926
MW Monoisotopic(RDKit),408.181585088
MolLogP(RDKit),2.6875
XLogP(SDF),
XLogP(CDK),3.391
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),54.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.7243987138496
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1652584.0541917365
qed,0.7243987138496004
Chi0,19.06226716449869
Chi1,13.17336639324559
TPSA,54.400000000000006
Chi0n,16.41342705818125
Chi0v,17.229923639108975
Chi1n,9.239719659819226
Chi1v,9.239719659819226
Chi2n,6.626038035478295
Chi2v,6.626038035478295
Chi3n,4.7806308916395865
Chi3v,4.7806308916395865
Chi4n,3.196802447658028
Chi4v,3.196802447658028
MolMR,113.39080000000004
MolWt,408.9260000000001
fr_SH,0
