DLiP-ID,C0020K
DLiP-Mol-ID,27527
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H13N3O2.ClH/c1-12-7-8-14(23-12)10-13(11-19)18(22)21-17-6-2-5-16-15(17)4-3-9-20-16;/h2-10H,1H3,(H,21,22);1H/b13-10+;"
Standard Inchi Key(RDKit),DLKRCLMWGBCNOC-RSGUCCNWSA-N
Canonical SMILES(RDKit),Cc1ccc(/C=C(\C#N)C(=O)Nc2cccc3ncccc23)o1.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),339.782
MW Monoisotopic(RDKit),339.077454368
MolLogP(RDKit),4.1037
XLogP(SDF),
XLogP(CDK),2.457
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),78.92
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.575110146401261
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,255411.99472532445
qed,0.5751101464012609
Chi0,16.233840039752504
Chi1,11.169035095596021
TPSA,78.92
Chi0n,12.81532448509814
Chi0v,13.631821066025866
Chi1n,7.005177529773271
Chi1v,7.005177529773271
Chi2n,4.948016492104045
Chi2v,4.948016492104045
Chi3n,3.306708726399349
Chi3v,3.306708726399349
Chi4n,2.2238441312952815
Chi4v,2.2238441312952815
MolMR,94.65570000000001
MolWt,339.7820000000001
fr_SH,0
Kappa1,17.256956693980527
Kappa2,7.444914695070224
Kappa3,3.620105690425094
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,948.8023190583759
MolLogP,4.103700000000003
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.083331577084853e-06
SMR_VSA1,9.211688121125169
SMR_VSA2,5.261891554738487
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,5.316788604006331
SMR_VSA7,65.75501241866249
SMR_VSA8,0.0
SMR_VSA9,6.069221312792274
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,144.57630385978828
NHOHCount,1
PEOE_VSA1,9.733939541059678
PEOE_VSA2,9.77851570501903
PEOE_VSA3,0.0
