DLiP-ID,C0017M
DLiP-Mol-ID,31956
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H29N3O4.ClH/c1-3-27-16-6-7-19-17(14-16)20(18(15-23-19)21(25)28-4-2)22-8-5-9-24-10-12-26-13-11-24;/h6-7,14-15H,3-5,8-13H2,1-2H3,(H,22,23);1H"
Standard Inchi Key(RDKit),YZLYHOCHYHLKAZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)c1cnc2ccc(OCC)cc2c1NCCCN1CCOCC1.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),423.941
MW Monoisotopic(RDKit),423.19248412
MolLogP(RDKit),3.3662
XLogP(SDF),
XLogP(CDK),3.22
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),72.92
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.489274130884671
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2611270.839945167
qed,0.48927413088467103
Chi0,19.769373945685235
Chi1,13.723876650462412
TPSA,72.92
Chi0n,17.109030750756666
Chi0v,17.925527331684393
Chi1n,9.992037918896466
Chi1v,9.992037918896466
Chi2n,6.61365558811097
Chi2v,6.61365558811097
Chi3n,4.702377565608343
Chi3v,4.702377565608343
