DLiP-ID,C001MB
DLiP-Mol-ID,32588
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H27NO2.ClH/c1-11(2)18-13(4)16(19)10-20-17-9-8-12(3)14-6-5-7-15(14)17;/h8-9,11,13,16,18-19H,5-7,10H2,1-4H3;1H"
Standard Inchi Key(RDKit),KBXMBGWSOLBOQM-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(OCC(O)C(C)NC(C)C)c2c1CCC2.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),313.869
MW Monoisotopic(RDKit),313.180856816
MolLogP(RDKit),3.03172
XLogP(SDF),
XLogP(CDK),3.853
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),41.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.847979254252274
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,36495.687198404456
qed,0.8479792542522742
Chi0,14.698306133819765
Chi1,9.486071002992368
TPSA,41.49
Chi0n,13.478888647122005
Chi0v,14.295385228049732
Chi1n,7.669771253839113
Chi1v,7.669771253839113
Chi2n,6.179651195451866
Chi2v,6.179651195451866
Chi3n,4.058957689721706
Chi3v,4.058957689721706
Chi4n,2.9442609542218845
Chi4v,2.9442609542218845
MolMR,89.68750000000004
MolWt,313.8690000000001
fr_SH,0
Kappa1,18.27943153732081
Kappa2,8.019196681427006
Kappa3,4.599647526908249
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,462.3484844450948
MolLogP,3.031720000000002
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.204998296551362e-06
SMR_VSA1,9.843390348640755
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,65.14506171358475
SMR_VSA6,6.606881964512918
SMR_VSA7,28.823088612014207
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,134.05066964219077
NHOHCount,2
PEOE_VSA1,15.160178952647087
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,12.407033161179976
PEOE_VSA6,19.913841467842857
PEOE_VSA7,55.86666081171188
PEOE_VSA8,12.083681658295921
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,12.407033161179976
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,313.18085681599996
NumHDonors,2
PEOE_VSA10,18.460360185545127
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.05365155780638
SlogP_VSA2,29.90105740539785
SlogP_VSA3,12.841643245852019
SlogP_VSA4,6.923737199690624
SlogP_VSA5,43.88238769708887
SlogP_VSA6,12.13273413692322
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,6.103966387748303
EState_VSA2,18.448873990327936
EState_VSA3,12.648722793660879
EState_VSA4,18.591155079135923
EState_VSA5,23.111176098016998
EState_VSA6,0.0
EState_VSA7,12.990104268152233
EState_VSA8,32.15436727153981
EState_VSA9,4.736862953800049
SlogP_VSA10,0.0
SlogP_VSA11,5.749511833283905
SlogP_VSA12,12.407033161179976
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,40.666666666666664
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,5.106527394840706
EState_VSA11,0.0
FractionCSP3,0.6470588235294118
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-0.77
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,21
HeavyAtomMolWt,285.645
MaxEStateIndex,10.143509700176367
MinEStateIndex,-0.4900406273620561
NumHeteroatoms,4
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,1
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1904761904761905
FpDensityMorgan2,1.8571428571428572
FpDensityMorgan3,2.5238095238095237
MaxPartialCharge,0.12241901120039893
MinPartialCharge,-0.49053616047042087
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,10.143509700176367
MinAbsEStateIndex,0.0
NumAliphaticRings,1
NumRotatableBonds,6
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.49053616047042087
MinAbsPartialCharge,0.12241901120039893
NumRadicalElectrons,0
NumValenceElectrons,120
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,313.18085681600076
MZ,0.5782312925170068
Mi,1.1362283529256751
Mm,0.5332968588317852
Mp,0.6347819137235733
Mv,0.5686532024574538
SZ,28.333333333333332
Si,55.67518929335808
Sm,26.131546082757474
Sp,31.104313772455093
Sv,27.864006920415232
nB,0
nC,17
nF,0
nH,28
nI,0
nN,1
nO,2
nP,0
nS,0
nX,1
ABC,15.234430945543869
AMW,6.391446057469403
IC0,1.4087342090362556
IC1,3.13406290546953
IC2,4.471054741721173
IC3,4.649725915234713
IC4,4.900025150061047
IC5,4.900025150061047
Mpe,0.9446178471388558
Mse,0.9901972442290827
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,89.68750000000004
SdO,0
SdS,0
Spe,46.28627450980393
SsF,0
SsI,0
Sse,48.519664967225054
StN,0
fMF,0.1836734693877551
nBr,0
nCl,1
BIC0,0.24712728819025956
BIC1,0.5497931844618374
BIC2,0.7843350623448361
BIC3,0.8156784643187113
BIC4,0.8595872235026355
BIC5,0.8595872235026355
CIC0,4.205975635078953
CIC1,2.480646938645678
CIC2,1.1436551023940353
CIC3,0.9649839288804953
CIC4,0.7146846940541609
CIC5,0.7146846940541609
GGI1,4.5
GGI2,2.88888888888889
GGI3,1.1805555555555554
GGI4,1.0094444444444446
GGI5,0.4480555555555556
GGI6,0.31097505668934244
GGI7,0.3055555555555556
GGI8,0.21442743764172334
GGI9,0.11093364197530867
JGI1,0.2142857142857143
JGI2,0.09961685823754794
JGI3,0.04216269841269841
JGI4,0.04037777777777778
JGI5,0.024891975308641977
