DLiP-ID,C100MN
DLiP-Mol-ID,35858
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H19N3O3S/c1-12-6-7-15(13(2)9-12)20-17(23)11-22-18(24)16(26-19(22)25)10-14-5-4-8-21(14)3/h4-10H,11H2,1-3H3,(H,20,23)/b16-10-"
Standard Inchi Key(RDKit),LEEAOYINSJMCPU-YBEGLDIGSA-N
Canonical SMILES(RDKit),Cc1ccc(NC(=O)CN2C(=O)S/C(=C\c3cccn3C)C2=O)c(C)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),369.446
MW Monoisotopic(RDKit),369.114712468
MolLogP(RDKit),3.31694
XLogP(SDF),
XLogP(CDK),2.128
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),71.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.839510353003089
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,766093.2942996209
qed,0.8395103530030893
Chi0,18.844570503761737
Chi1,12.346244348298509
TPSA,71.41
Chi0n,14.775979018369299
Chi0v,15.592475599297025
Chi1n,8.087360703430518
Chi1v,8.903857284358242
Chi2n,6.178366193366774
Chi2v,7.171557596727874
Chi3n,4.094214400841167
Chi3v,5.001606124145478
Chi4n,2.6820808905328084
Chi4v,3.505037647709599
MolMR,102.63570000000004
MolWt,369.44600000000014
fr_SH,0
Kappa1,18.00498866213152
Kappa2,7.210058966354491
Kappa3,3.7234414008023267
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,929.8606064742233
MolLogP,3.3169400000000016
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.7032745563183413
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,9.467009378641833
SMR_VSA4,7.04767198267719
SMR_VSA5,13.847474399381248
SMR_VSA6,11.861545009918906
SMR_VSA7,58.25464640605363
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,155.41404625633456
NHOHCount,1
PEOE_VSA1,9.883888251797686
PEOE_VSA2,19.28352128306594
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,17.696185628620217
PEOE_VSA7,55.44793215268807
PEOE_VSA8,24.62582982382229
PEOE_VSA9,4.905136513890047
RingCount,3
SMR_VSA10,40.578862502783856
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,369.11471246800005
NumHDonors,1
PEOE_VSA10,6.544756405912575
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,11.146391442523793
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,33.06533695642971
SlogP_VSA3,16.636746350820832
SlogP_VSA4,13.847474399381248
SlogP_VSA5,16.82083097824245
SlogP_VSA6,41.433815427811176
SlogP_VSA7,0.0
SlogP_VSA8,6.076020106833881
