DLiP-ID,C003NU
DLiP-Mol-ID,34248
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H14NO4.H2O4S/c1-21-8-15-12(4-5-16-20(15)25-10-22-16)13-3-2-11-6-17-18(24-9-23-17)7-14(11)19(13)21;1-5(2,3)4/h2-8H,9-10H2,1H3;(H2,1,2,3,4)/q+1;/p-1"
Standard Inchi Key(RDKit),VDZBWCCJLPCEQQ-UHFFFAOYSA-M
Canonical SMILES(RDKit),C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3.O=S(=O)([O-])O
SMILES(SDF),
MW(SDF),
MW(RDKit),429.406
MW Monoisotopic(RDKit),429.05183744
MolLogP(RDKit),2.4327
XLogP(SDF),
XLogP(CDK),3.78
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),118.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.195979444490839
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,9270047.91242652
qed,0.19597944449083923
Chi0,21.04324111651101
Chi1,14.29282633568371
TPSA,118.23
Chi0n,15.616078961411299
Chi0v,16.432575542339023
Chi1n,8.847533466159117
Chi1v,10.212681837829226
Chi2n,6.816655444028866
Chi2v,7.672117329992689
Chi3n,5.027817521743817
Chi3v,5.027817521743817
Chi4n,3.9102981789430924
Chi4v,3.9102981789430924
MolMR,104.70800000000007
MolWt,429.40600000000023
fr_SH,0
Kappa1,18.673647142725233
Kappa2,6.59019988718621
Kappa3,3.1066471849705226
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1440.7071823631638
MolLogP,2.4326999999999996
NOCount,9
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,3.4906661576882575e-07
SMR_VSA1,41.03784819470122
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,7.04767198267719
SMR_VSA5,0.0
SMR_VSA6,13.585884612199655
SMR_VSA7,42.595045982382736
SMR_VSA8,0.0
SMR_VSA9,22.99804733313562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,4
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,170.08106592822725
NHOHCount,1
PEOE_VSA1,23.50020168889056
PEOE_VSA2,4.552749873690364
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.567099647791355
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,35.71805955677285
PEOE_VSA8,5.386224214464796
PEOE_VSA9,16.158672643394386
RingCount,6
SMR_VSA10,42.84682237158985
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,429.0518374399998
NumHDonors,1
PEOE_VSA10,7.04767198267719
PEOE_VSA11,29.194890904748693
PEOE_VSA12,29.501585911465522
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,23.51455146299155
SlogP_VSA2,31.109181343909317
SlogP_VSA3,17.446672564326796
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,42.595045982382736
SlogP_VSA7,0.0
SlogP_VSA8,32.44782178994024
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.399000581649606
EState_VSA2,13.585884612199655
EState_VSA3,0.0
EState_VSA4,50.05964490861106
EState_VSA5,5.386224214464796
EState_VSA6,0.0
EState_VSA7,12.13273413692322
EState_VSA8,42.077083475928056
EState_VSA9,36.47074854690986
SlogP_VSA10,0.0
SlogP_VSA11,22.99804733313562
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,34.976351095993955
VSA_EState9,49.523648904006045
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,8
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,0.15
VSA_EState10,-4.916666666666666
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.3400000000000003
NumHAcceptors,7
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,30
HeavyAtomMolWt,414.2860000000001
MaxEStateIndex,8.631944444444445
MinEStateIndex,-4.916666666666666
NumHeteroatoms,10
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.8666666666666667
FpDensityMorgan2,1.5
FpDensityMorgan3,2.2666666666666666
MaxPartialCharge,0.23084096572957588
MinPartialCharge,-0.7256666183954735
NumAromaticRings,4
fr_unbrch_alkane,0
MaxAbsEStateIndex,8.631944444444445
MinAbsEStateIndex,0.27519257631631366
NumAliphaticRings,2
NumRotatableBonds,0
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.7256666183954735
MinAbsPartialCharge,0.23084096572957588
NumRadicalElectrons,0
NumValenceElectrons,154
fr_para_hydroxylation,0
NumAromaticCarbocycles,3
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,2
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,429.0518374400002
MZ,0.8222222222222221
Mi,1.1111232580146375
Mm,0.7944550828407295
Mp,0.716139654025283
Mv,0.7050471040550014
SZ,36.99999999999999
Si,50.00054661065869
Sm,35.75047872783283
Sp,32.226284431137735
Sv,31.72711968247506
nB,0
nC,20
nF,0
nH,15
nI,0
nN,1
nO,8
nP,0
nS,1
nX,0
ABC,24.42273381979643
AMW,9.53448527644445
IC0,1.7353659667324521
IC1,3.5713556654947816
IC2,4.341310040533734
IC3,4.880524762900187
IC4,5.163966707392707
IC5,5.252855596281599
Mpe,1.0208278867102394
Mse,1.045423646516145
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,104.70800000000007
SdO,17.26388888888889
SdS,0
Spe,45.93725490196077
SsF,0
SsI,0
Sse,47.044064093226524
StN,0
fMF,0.5333333333333333
nBr,0
nCl,0
BIC0,0.2937867120854771
BIC1,0.6046083989010915
BIC2,0.7349569067287759
BIC3,0.8262426201915126
BIC4,0.8742275862078538
BIC5,0.8892759246610793
CIC0,3.7564871295972226
CIC1,1.9204974308348932
CIC2,1.150543055795941
CIC3,0.6113283334294879
CIC4,0.3278863889369674
CIC5,0.23899750004807618
GGI1,7.0
GGI2,3.333333333333335
GGI3,1.8819444444444444
GGI4,2.2438888888888893
GGI5,0.8816666666666667
GGI6,0.6677097505668935
GGI7,0.24567743764172334
GGI8,0.16326530612244897
GGI9,0.07125000000000001
JGI1,0.20588235294117646
JGI2,0.06410256410256414
JGI3,0.03920717592592593
JGI4,0.049864197530864206
JGI5,0.023201754385964918
JGI6,0.021539024211835275
JGI7,0.011167156256441968
JGI8,0.01020408163265306
JGI9,0.0059375
MIC0,19.48828706495772
MIC1,38.06191063793405
MIC2,44.61084407331172
MIC3,49.478418166181754
MIC4,51.40843875734132
MIC5,51.49803875734132
MPC2,52
MPC3,70
MPC4,104
MPC5,142
MPC6,179
MPC7,234
MPC8,302
MPC9,361
Mare,1.0356444444444448
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,4
NssS,0
NtCH,0
NtsC,0
RNCG,0.1992647938876074
RPCG,0.06383839332739162
SIC0,0.3159891454292969
SIC1,0.6503006549613638
SIC2,0.7905000305698501
SIC3,0.8886845072680382
SIC4,0.940295855845798
SIC5,0.9564814469986819
SaaN,0
SaaO,0
SaaS,0
Sare,46.60400000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,6.9375
SsSH,0
SssO,22.29410301327193
SssS,0
StCH,0
StsC,0
TIC0,78.09146850296034
TIC1,160.71100494726517
TIC2,195.35895182401802
TIC3,219.62361433050842
TIC4,232.37850183267184
TIC5,236.37850183267193
Vabc,321.39333884046107
WPol,48
apol,53.817894999999986
bpol,31.22610499999999
nRot,0
ABCGG,19.114932148734788
ATS0Z,1552.0
ATS0d,187.0
ATS0i,7111.832058593835
ATS0m,6172.307037000002
ATS0p,77.21282557273497
ATS0s,329.16057956104254
ATS0v,11507.811827153733
ATS1Z,1798.0
ATS1d,234.0
ATS1i,7020.046853118746
ATS1m,7020.382426000004
ATS1p,94.64240832600005
ATS1s,155.07407407407408
ATS1v,14557.440529935442
ATS2Z,2401.0
ATS2d,368.0
ATS2i,12713.645764447772
ATS2m,9230.767248
ATS2p,139.249925342245
ATS2s,542.5462962962964
