DLiP-ID,C003KG
DLiP-Mol-ID,33162
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H17NO2.ClH/c1-18-8-7-10-3-2-4-12-15(10)13(18)9-11-5-6-14(19)17(20)16(11)12;/h2-6,13,19-20H,7-9H2,1H3;1H/t13-;/m0./s1"
Standard Inchi Key(RDKit),SKYZYDSNJIOXRL-ZOWNYOTGSA-N
Canonical SMILES(RDKit),CN1CCc2cccc3c2[C@@H]1Cc1ccc(O)c(O)c1-3.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),303.789
MW Monoisotopic(RDKit),303.102606496
MolLogP(RDKit),3.2717
XLogP(SDF),
XLogP(CDK),3.369
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),43.7
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.734188895743787
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,59831.80581930575
qed,0.7341888957437872
Chi0,13.853006672199017
Chi1,9.664703797946451
TPSA,43.7
Chi0n,11.835311035661137
Chi0v,12.651807616588863
Chi1n,7.027584591388392
Chi1v,7.027584591388392
Chi2n,5.796320610555605
Chi2v,5.796320610555605
Chi3n,4.7210801572903
Chi3v,4.7210801572903
Chi4n,3.674353573309836
Chi4v,3.674353573309836
MolMR,85.23460000000001
MolWt,303.78899999999993
fr_SH,0
Kappa1,14.236666634308785
Kappa2,4.9337382114321455
Kappa3,1.9190778942463795
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,714.176562926493
MolLogP,3.271700000000003
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.322499301183712e-06
SMR_VSA1,10.213054789681411
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,18.88348407499998
SMR_VSA6,13.592428388589765
SMR_VSA7,47.02218981739904
SMR_VSA8,0.0
SMR_VSA9,22.6259266499618
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,129.8029400176304
NHOHCount,2
PEOE_VSA1,10.213054789681411
PEOE_VSA2,4.899909730850478
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,12.407033161179976
PEOE_VSA6,24.26546827384644
PEOE_VSA7,48.2094882637788
PEOE_VSA8,18.150048726757532
PEOE_VSA9,0.0
RingCount,4
SMR_VSA10,12.407033161179976
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,2
ExactMolWt,303.10260649599996
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,11.49902366656781
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,28.705392909121656
SlogP_VSA3,12.841643245852019
SlogP_VSA4,0.0
SlogP_VSA5,22.732195304238946
SlogP_VSA6,30.33183534230805
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,23.906056827747786
EState_VSA3,6.041840829147961
EState_VSA4,36.07675412685558
EState_VSA5,11.126902983393991
EState_VSA6,6.06636706846161
EState_VSA7,6.06636706846161
EState_VSA8,30.146682918912497
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
SlogP_VSA12,12.407033161179976
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,43.5
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,10.213054789681411
EState_VSA11,0.0
FractionCSP3,0.29411764705882354
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.71
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,21
HeavyAtomMolWt,285.6449999999999
MaxEStateIndex,10.260321948223734
MinEStateIndex,-0.03799343348450468
NumHeteroatoms,4
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0952380952380953
FpDensityMorgan2,1.9047619047619047
FpDensityMorgan3,2.7142857142857144
MaxPartialCharge,0.1652122593273759
MinPartialCharge,-0.5042440066336673
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,10.260321948223734
MinAbsEStateIndex,0.0
NumAliphaticRings,2
NumRotatableBonds,0
NumSaturatedRings,0
fr_Ndealkylation1,1
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5042440066336673
MinAbsPartialCharge,0.1652122593273759
NumRadicalElectrons,0
NumValenceElectrons,110
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,2
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,303.1026064960005
MZ,0.683760683760684
Mi,1.1179164375317232
Mm,0.6485209071171937
Mp,0.6951677260862892
Mv,0.6449966128586114
SZ,26.666666666666675
Si,43.5987410637372
Sm,25.292315377570553
Sp,27.11154131736528
Sv,25.154867901485847
nB,0
nC,17
nF,0
nH,18
nI,0
nN,1
nO,2
nP,0
nS,0
nX,1
ABC,16.268104450355082
AMW,7.771861705025653
IC0,1.527824825856674
IC1,3.459929157326076
IC2,4.455542527154548
IC3,4.907071770088827
IC4,5.009635872652929
IC5,5.009635872652929
Mpe,0.9656108597285064
Mse,1.0020636076717655
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,85.23460000000001
SdO,0
SdS,0
Spe,37.65882352941175
SsF,0
SsI,0
Sse,39.08048069919886
StN,0
fMF,0.4358974358974359
nBr,0
