DLiP-ID,C0012G
DLiP-Mol-ID,31736
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H13N3.ClH/c18-13-8-5-12(6-9-13)17-19-15-10-7-11-3-1-2-4-14(11)16(15)20-17;/h1-10H,18H2,(H,19,20);1H"
Standard Inchi Key(RDKit),QVRRIAIRRRODLE-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cl.Nc1ccc(-c2nc3c(ccc4ccccc43)[nH]2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),295.773
MW Monoisotopic(RDKit),295.087625128
MolLogP(RDKit),4.3871
XLogP(SDF),
XLogP(CDK),4.231
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),54.7
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.511790325480101
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,90961.4676670782
qed,0.5117903254801012
Chi0,13.526733258565956
Chi1,9.809663088089318
TPSA,54.699999999999996
Chi0n,11.206314847049708
Chi0v,12.022811427977434
Chi1n,6.545289806853274
Chi1v,6.545289806853274
Chi2n,4.890284378880618
Chi2v,4.890284378880618
Chi3n,3.5613871644443695
Chi3v,3.5613871644443695
Chi4n,2.521468931322505
Chi4v,2.521468931322505
MolMR,90.69610000000002
MolWt,295.77299999999997
fr_SH,0
Kappa1,13.46247528076172
Kappa2,5.110059037895854
Kappa3,2.2156658815524097
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,910.2820024263748
MolLogP,4.387100000000002
NOCount,3
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.3224992701337509e-06
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.733667477162185
SMR_VSA7,60.6636706846161
SMR_VSA8,0.0
SMR_VSA9,11.387855989696924
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,127.77361874055437
NHOHCount,3
PEOE_VSA1,10.717645998109393
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,12.407033161179976
PEOE_VSA6,30.33183534230805
PEOE_VSA7,35.71805955677285
PEOE_VSA8,16.637061980845353
PEOE_VSA9,11.033401435232523
RingCount,4
SMR_VSA10,39.900269300025656
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,295.087625128
NumHDonors,2
PEOE_VSA10,5.824404497999927
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.733667477162185
SlogP_VSA2,9.967957041894417
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,60.6636706846161
SlogP_VSA7,0.0
SlogP_VSA8,33.193705853859036
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,12.407033161179976
EState_VSA3,0.0
EState_VSA4,28.108643699613005
EState_VSA5,10.772448428929591
EState_VSA6,0.0
EState_VSA7,36.39820241076966
EState_VSA8,29.24944679479365
EState_VSA9,10.717645998109393
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,12.407033161179976
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,41.166666666666664
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,3
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,0.0
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,1
fr_imidazole,1
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.519999999999999
NumHAcceptors,2
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,21
HeavyAtomMolWt,281.661
MaxEStateIndex,5.723641016604581
MinEStateIndex,0.0
NumHeteroatoms,4
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.8571428571428571
FpDensityMorgan2,1.619047619047619
FpDensityMorgan3,2.4285714285714284
MaxPartialCharge,0.13801429883198263
MinPartialCharge,-0.3987282325962917
NumAromaticRings,4
fr_unbrch_alkane,0
MaxAbsEStateIndex,5.723641016604581
MinAbsEStateIndex,0.0
NumAliphaticRings,0
NumRotatableBonds,1
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.3987282325962917
MinAbsPartialCharge,0.13801429883198263
NumRadicalElectrons,0
NumValenceElectrons,104
fr_para_hydroxylation,0
NumAromaticCarbocycles,3
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,295.0876251280004
MZ,0.7333333333333334
Mi,1.1123104611523924
Mm,0.7035693471460684
Mp,0.7391805303678359
Mv,0.6902154633479689
SZ,25.666666666666668
Si,38.930866140333734
Sm,24.624927150112395
Sp,25.871318562874258
Sv,24.157541217178913
nB,0
nC,17
nF,0
nH,14
nI,0
nN,3
nO,0
nP,0
nS,0
nX,1
ABC,16.211085308952253
AMW,8.431075003657154
IC0,1.4851480251670894
IC1,2.902187676885703
IC2,3.8157353469153343
IC3,4.707714802597438
IC4,5.014997302659251
IC5,5.0721401598021085
Mpe,0.9684033613445377
Mse,0.999136406201228
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,90.69610000000002
SdO,0
SdS,0
Spe,33.89411764705882
SsF,0
SsI,0
Sse,34.96977421704298
StN,0
fMF,0.5428571428571428
nBr,0
nCl,1
BIC0,0.2688750550789984
BIC1,0.52541959336642
BIC2,0.6908106358309397
BIC3,0.8522969127620745
BIC4,0.907928134518328
BIC5,0.9182734257629018
CIC0,3.644134991777877
CIC1,2.2270953400592632
CIC2,1.313547670029632
CIC3,0.4215682143475288
CIC4,0.11428571428571566
CIC5,0.05714285714285783
GGI1,3.5
GGI2,2.4444444444444455
GGI3,1.0694444444444444
GGI4,1.0988888888888888
GGI5,0.6186111111111112
GGI6,0.23759637188208615
GGI7,0.1658517573696145
GGI8,0.09548217435122194
GGI9,0.08719135802469136
JGI1,0.15217391304347824
JGI2,0.0740740740740741
JGI3,0.03342013888888889
JGI4,0.04226495726495727
JGI5,0.02945767195767196
JGI6,0.013199798437893675
JGI7,0.011056783824640965
JGI8,0.008680197668292906
JGI9,0.012455908289241622
MIC0,16.06187282004571
MIC1,28.53416362019461
MIC2,38.640726765311804
MIC3,42.29212854767664
MIC4,43.23061216488181
MIC5,43.288212164881806
MPC2,33
MPC3,46
MPC4,63
MPC5,84
MPC6,94
MPC7,109
MPC8,130
MPC9,143
Mare,0.9753142857142858
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.24613127316545852
RPCG,0.10380006786236813
SIC0,0.2895430063540641
SIC1,0.5658076708378367
SIC2,0.743912031040161
SIC3,0.9178114732692957
SIC4,0.9777189689264242
SIC5,0.988859484463212
SaaN,4.744406651549509
SaaO,0
SaaS,0
Sare,34.136
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,51.98018088084813
TIC1,101.57656869099961
TIC2,133.5507371420367
TIC3,164.77001809091033
TIC4,175.52490559307378
TIC5,177.5249055930738
Vabc,242.59205020348026
WPol,32
apol,43.205102
bpol,15.694897999999997
nRot,1
ABCGG,12.3320730000184
ATS0Z,1062.0
ATS0d,126.0
ATS0i,5546.230798116387
ATS0m,4312.005600000001
ATS0p,62.01828066788601
ATS0v,8868.87322984977
ATS1Z,956.0
ATS1d,159.0
