DLiP-ID,C001SY
DLiP-Mol-ID,32867
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H33NO3.C2H2O4/c1-3-25(4-2)14-16-28-24(26)21(18-22-12-8-15-27-22)17-20-11-7-10-19-9-5-6-13-23(19)20;3-1(4)2(5)6/h5-7,9-11,13,21-22H,3-4,8,12,14-18H2,1-2H3;(H,3,4)(H,5,6)"
Standard Inchi Key(RDKit),SSAJNPNVUYMUCI-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1.O=C(O)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),473.566
MW Monoisotopic(RDKit),473.24135246
MolLogP(RDKit),3.6082
XLogP(SDF),
XLogP(CDK),3.797
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),113.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.397452407650624
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,34802774.60146044
qed,0.3974524076506239
Chi0,24.924074484064487
Chi1,16.349774308148643
TPSA,113.36999999999999
Chi0n,19.94299569220475
Chi0v,19.94299569220475
Chi1n,11.786248458525892
Chi1v,11.786248458525892
Chi2n,8.214735073348262
Chi2v,8.214735073348262
Chi3n,5.980198791950969
Chi3v,5.980198791950969
Chi4n,4.0794281768400475
Chi4v,4.0794281768400475
MolMR,128.7516000000001
MolWt,473.5660000000003
fr_SH,0
Kappa1,27.275866908452688
Kappa2,14.326187268432546
Kappa3,8.758749277714665
fr_ArN,0
fr_COO,2
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,918.3959792739812
MolLogP,3.608200000000001
NOCount,8
fr_Ar_N,0
fr_COO2,2
fr_urea,0
BalabanJ,6.041665322466152e-07
SMR_VSA1,34.07039224949697
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,5.917906046161393
SMR_VSA5,45.634727278833594
SMR_VSA6,32.84803314676356
SMR_VSA7,48.02802097092827
