DLiP-ID,C001EH
DLiP-Mol-ID,32253
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H21ClN2O2S.ClH/c17-15-9-5-8-14-13(15)7-6-10-16(14)22(20,21)19-12-4-2-1-3-11-18;/h5-10,19H,1-4,11-12,18H2;1H"
Standard Inchi Key(RDKit),OMMOSRLIFSCDBL-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cl.NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),377.337
MW Monoisotopic(RDKit),376.077904304
MolLogP(RDKit),3.7124
XLogP(SDF),
XLogP(CDK),3.927
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),72.19
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.689134866123105
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,85153.03282099753
qed,0.6891348661231047
Chi0,16.001789232183626
Chi1,10.559678737419713
TPSA,72.19
Chi0n,12.795050206311346
Chi0v,15.183972314185255
