DLiP-ID,C001LO
DLiP-Mol-ID,32553
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H27NO3.ClH/c21-10-17-14-1-2-16(22)19(23)15(14)6-18(24-17)20-7-11-3-12(8-20)5-13(4-11)9-20;/h1-2,11-13,17-18,22-23H,3-10,21H2;1H/t11?,12?,13?,17-,18-,20?;/m0./s1"
Standard Inchi Key(RDKit),BWHPNJVKFAPVOG-QYFJGNGUSA-N
Canonical SMILES(RDKit),Cl.NC[C@@H]1O[C@H](C23CC4CC(CC(C4)C2)C3)Cc2c1ccc(O)c2O
SMILES(SDF),
MW(SDF),
MW(RDKit),365.901
MW Monoisotopic(RDKit),365.175771436
MolLogP(RDKit),3.6771
XLogP(SDF),
XLogP(CDK),4.485
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),75.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.698670510694944
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,478448.9164890141
qed,0.6986705106949446
Chi0,16.47432701575866
Chi1,11.576448606695577
TPSA,75.71000000000001
Chi0n,14.486580174937034
Chi0v,15.30307675586476
Chi1n,9.469845035943026
Chi1v,9.469845035943026
Chi2n,8.834196651223607
Chi2v,8.834196651223607
Chi3n,7.345315179929987
Chi3v,7.345315179929987
Chi4n,6.776170685183294
Chi4v,6.776170685183294
MolMR,97.99700000000004
MolWt,365.90100000000007
fr_SH,0
Kappa1,17.444139672161036
Kappa2,6.036430990944009
Kappa3,2.563762961858783
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,641.86605395812
MolLogP,3.677100000000004
NOCount,4
fr_Ar_N,0
